SeqNum,@id,@notation,@status,dct:description,rdf:type,rdfs:label,skos:notation,I-ADOPT Type,Comment,OoI,Property,Constraints
41,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/230>,230,stable,''@en,skos:Concept,Visibility,'230',Property,,Air,Visibility,
42,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/248>,248,stable,''@en,skos:Concept,"Transport calculations (e.g., trajectories)",'248',,?,,,
43,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/249>,249,stable,'Kinetic energy density of turbulent motion of the air'@en,skos:Concept,Turbulence,'249',OoI,OoI = Turbulence?,Turbulence,,
44,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/250>,250,stable,''@en,skos:Concept,Turbulence type (low levels and wake vortex),'250',OoI&Property,,Turbulence,Type ?,
45,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/252>,252,stable,''@en,skos:Concept,Integrated water vapour,'252',OoI&Property,,water vapour,column integrated path ?,
46,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/253>,253,stable,''@en,skos:Concept,Mass mixing ratio,'253',Property,,,Mass mixing ratio,
47,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/254>,254,stable,''@en,skos:Concept,Object wetness duration,'254',,?,,,
48,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/255>,255,stable,''@en,skos:Concept,Water vapour pressure,'255',Property,,water vapour,patial pressure,
49,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/257>,257,stable,'Current incurred by the lightning discharge.'@en,skos:Concept,Lightning discharge current,'257',Property,,lightning,discharge current,
50,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/258>,258,stable,'Polarity of the charge effectively lowered to ground during a lightning discharge.'@en,skos:Concept,Lightning discharge polarity,'258',Property,,lightning,discharge polarity,
51,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/259>,259,stable,'Number of lightning discharges per unit time in a given region (e.g. world-wide) or for a given storm system (e.g. a thunderstorm cell).'@en,skos:Concept,Lightning discharge rate,'259',Property,,lightning,discharge rate,
52,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/260>,260,stable,"'Lightning discharge type, defined by the path of the lightning discharge: between two clouds or within the same cloud (intra-cloud) or between cloud and ground (cloud-to-ground).'@en",skos:Concept,"Lightning discharge type (cloud to cloud, cloud to surface)",'260',Property,,lightning,discharge type,
53,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/265>,265,stable,"'Predominant characteristic of weather which had existed at the station during a given period of time. [Manual on Codes (WMO-No. 306), Volume I.1. 2011 edition updated in 2019.]'@en",skos:Concept,Past weather,'265',,?,,,
54,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/266>,266,stable,"'Weather existing at the time of observation, or under certain conditions, during the hour preceding the time of observation. [Manual on Codes (WMO-No. 306), Volume I.1. 2011 edition updated in 2019.]'@en",skos:Concept,Present weather,'266',,?,,,
55,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/267>,267,stable,'Luminous flux received from the background per unit solid angle and per unit area. Note: Luminous flux is a quantity derived from radiant flux by evaluating the radiation according to its action upon the International Commission on Illumination standard photometric observer.'@en,skos:Concept,Background luminance,'267',Property,with Constraint,light or radiation ?,luminance,
56,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/270>,270,stable,'The total time in one day during which the direct solar irradiance is equal to or more than the threshold value for bright sunshine (the threshold being 120 W m-2 of direct solar irradiance).'@en,skos:Concept,Sunshine duration,'270',Property,,??,Duration,
57,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/271>,271,stable,'Hemispherically integrated reflectance of the Earth surface in the range 0.4-0.7 Âµm.'@en,skos:Concept,Surface albedo,'271',Property,,,Surface albedo,
58,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/273>,273,stable,'Ultraviolet radiation covering the range 280-315 nm.'@en,skos:Concept,UV-B radiation,'273',OoI,with Constraint,Radiation,,UV-B
59,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/274>,274,stable,"'IUPAC: n/a, PubChem CID: 5460627, CAS Number: 15656-19-6, in gas phase'@en",skos:Concept,BrO (bromine monoxide),'274',OoI,,BrO (bromine monoxide),,
60,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/275>,275,stable,"'IUPAC: 1,1,2,2-tetrachloroethene, PubChem CID: 31373, CAS Number: 127-18-4, in gas phase'@en",skos:Concept,C2Cl4 (tetrachloroethene),'275',OoI,,C2Cl4 (tetrachloroethene),,
61,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/276>,276,stable,"'IUPAC: 1,1,2-trichloroethene, PubChem CID: 6575, CAS Number: 79-01-6, in gas phase'@en",skos:Concept,C2HCl3 (trichloroethene),'276',OoI,,C2HCl3 (trichloroethene),,
62,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/277>,277,stable,"'IUPAC: dibromomethane, PubChem CID: 3024, CAS Number: 74-95-3, in gas phase'@en",skos:Concept,CH2Br2 (dibromomethane),'277',OoI,,CH2Br2 (dibromomethane),,
63,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/278>,278,stable,"'IUPAC: dichloromethane, PubChem CID: 6344, CAS Number: 75-09-2, in gas phase'@en",skos:Concept,CH2Cl2 (dichloromethane),'278',OoI,,CH2Cl2 (dichloromethane),,
64,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/279>,279,stable,"'IUPAC: bromomethane, PubChem CID: 6323, CAS Number: 74-83-9, in gas phase'@en",skos:Concept,CH3Br (bromomethane),'279',OoI,,CH3Br (bromomethane),,
65,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/280>,280,stable,"'IUPAC: chloromethane, PubChem CID: 6327, CAS Number: 74-87-3, in gas phase'@en",skos:Concept,CH3Cl (chloromethane),'280',OoI,,CH3Cl (chloromethane),,
66,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/281>,281,stable,"'IUPAC: iodomethane, PubChem CID: 6328, CAS Number: 74-88-4, in gas phase'@en",skos:Concept,CH3I (iodomethane),'281',OoI,,CH3I (iodomethane),,
67,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/282>,282,stable,"'IUPAC: bromoform, PubChem CID: 5558, CAS Number: 75-25-2, in gas phase'@en",skos:Concept,CHBr3 (bromoform),'282',OoI,,CHBr3 (bromoform),,
68,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/283>,283,stable,"'IUPAC: chloroform, PubChem CID: 6212, CAS Number: 67-66-3, in gas phase'@en",skos:Concept,"CHCl3 (trichloromethane, chloroform)",'283',OoI,,"CHCl3 (trichloromethane, chloroform)",,
69,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/284>,284,stable,"'IUPAC: carbon monoxide, PubChem CID: 281, CAS Number: 630-08-0, in gas phase'@en",skos:Concept,CO,'284',OoI,,CO,,
70,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/285>,285,stable,"'IUPAC: carbonyl difluoride, PubChem CID: 9623, CAS Number: 353-50-4, in gas phase'@en",skos:Concept,"COF2 (difluoromethanal, carbonyl fluoride)",'285',OoI,,"COF2 (difluoromethanal, carbonyl fluoride)",,
71,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/286>,286,stable,"'IUPAC: n/a, PubChem CID: 166686, CAS Number: 14989-30-1, in gas phase'@en",skos:Concept,ClO (chlorine monoxide),'286',OoI,,ClO (chlorine monoxide),,
72,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/287>,287,stable,"'IUPAC: hydrogen peroxide, PubChem CID: 784, CAS Number: 7722-84-1, in gas phase'@en",skos:Concept,H2O2 (hydrogen peroxide),'287',OoI,,H2O2 (hydrogen peroxide),,
73,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/288>,288,stable,"'IUPAC: chlorane, PubChem CID: 313, CAS Number: 7647-01-0, in gas phase'@en",skos:Concept,HCl (hydrochloric acid),'288',OoI,,HCl (hydrochloric acid),,
74,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/289>,289,stable,"'IUPAC: fluorane, PubChem CID: 14917, CAS Number: 7664-39-3, in gas phase'@en",skos:Concept,HF (hydrofluoric acid),'289',OoI,,HF (hydrofluoric acid),,
75,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/291>,291,stable,''@en,skos:Concept,ROOH,'291',OoI,Organic Peroxide?,ROOH,,
76,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/294>,294,stable,''@en,skos:Concept,Acidity-Alkalinity,'294',Property,,,Acidity-Alkalinity,
77,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/295>,295,stable,''@en,skos:Concept,Electric conductivity,'295',Property,,,Electric conductivity,
78,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/296>,296,stable,''@en,skos:Concept,Hydrogen ion (H+) or pH,'296',Property,,,pH,
79,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/302>,302,stable,"'IUPAC: sulfur, PubChem CID: n/a, CAS Number: 7704-34-9, in total deposition'@en",skos:Concept,S (sulfur),'302',OoI,,S (sulfur),,
80,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/304>,304,stable,''@en,skos:Concept,Direction of cloud movement,'304',OoI&Property,,,direction of movement,
81,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/305>,305,stable,''@en,skos:Concept,Gust Speed,'305',Property,,wind,Gust Speed,
82,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/307>,307,stable,'Vertical component of the 3-D wind vector. positive value for upward wind. This scalar quantity can be used to represent a value at given location and an instantaneous time or average over spatio-temporal extent or values as a function of spatio-temporal coordinates.'@en,skos:Concept,w (vertical component of wind vector),'307',Property,,wind,w (vertical component of wind vector),
83,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/310>,310,stable,'Horizontal component of wind as a vector in an orthogonal coordinate system.'@en,skos:Concept,"Upper wind (X, Y components, horizontal)",'310',Property,,wind,"Upper wind (X, Y components, horizontal)",
84,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/314>,314,stable,'Vertical column integral of spectral aerosol absorption coefficient: AAOD = exp(-K.Î”z) where K is the absorption coefficient [km-1] and Î”z the vertical path [km]'@en,skos:Concept,Aerosol Absorption Optical Depth,'314',Property,,Aerosol Particle,Absorption Optical Depth,
85,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/315>,315,stable,'Spectral volumetric extinction cross-section of aerosol particles.'@en,skos:Concept,Aerosol Extinction Coefficient,'315',Property,,Aerosol Particle,Extinction Coefficient,
86,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/316>,316,stable,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM1'@en,skos:Concept,"Particle light absorption coefficient, PM1",'316',Property,with Constraint,Aerosol Particle,absorption coefficient,
87,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/317>,317,stable,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM10'@en,skos:Concept,"Particle light absorption coefficient, PM10",'317',Property,with Constraint,Aerosol Particle,absorption coefficient,
88,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/318>,318,stable,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: TSP'@en,skos:Concept,"Particle light absorption coefficient, TSP",'318',Property,with Constraint,Aerosol Particle,absorption coefficient,
89,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/322>,322,stable,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM1'@en,skos:Concept,"Particle light scattering coefficient, PM1",'322',Property,with Constraint,Aerosol Particle,scattering coefficient,
90,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/323>,323,stable,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM10'@en,skos:Concept,"Particle light scattering coefficient, PM10",'323',Property,with Constraint,Aerosol Particle,scattering coefficient,
91,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/324>,324,stable,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: TSP'@en,skos:Concept,"Particle light scattering coefficient, TSP",'324',Property,with Constraint,Aerosol Particle,scattering coefficient,
92,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/325>,325,stable,"'The AOD is the effective depth of the aerosol over a specified distance, from the viewpoint of radiation propagation: Vertical integral of spectral aerosol extinction coefficient AOD = exp(-K. Î”z) where K is the extinction coefficient [km-1 ] and Î”z the vertical path [km].'@en",skos:Concept,"Aerosol optical depth, TSP",'325',Property,with Constraint,Aerosol Particle,Optical Depth,
93,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/327>,327,stable,'Atmospheric water in the solid phase (precipitating or not).'@en,skos:Concept,Cloud ice,'327',Property,,Cloud,mass concentration,Ice
94,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/329>,329,stable,"'The area weighted mean radius of ice particles, assimilated to spheres of the same volume.'@en",skos:Concept,Cloud ice effective radius,'329',OoI&Property,,Cloud,,
95,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/330>,330,stable,'Height of the atmospheric layer in cloud where liquid-solid states transform into each other'@en,skos:Concept,Freezing level height in clouds,'330',Property,,,Freezing level height,
96,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/331>,331,stable,"'3D field of super-cooled liquid water, enabling the formation of ice coating on an object.'@en",skos:Concept,Icing potential,'331',Property,Property of Property,,Icing potential,
97,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/332>,332,stable,"'IUPAC: bromo-chloro-difluoromethane, PubChem CID: 9625, CAS Number: 353-59-3, in gas phase'@en",skos:Concept,CBrClF2 (Halon 1211),'332',OoI,,CBrClF2 (Halon 1211),,
98,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/333>,333,stable,"'IUPAC: bromo(trifluoro)methane, PubChem CID: 6384, CAS Number: 75-63-8, in gas phase'@en",skos:Concept,"CBrF3 (bromotrifluoromethane, Halon 1301)",'333',OoI,,"CBrF3 (bromotrifluoromethane, Halon 1301)",,
99,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/334>,334,stable,"'IUPAC: 9H-fluorene, PubChem CID: 6853, CAS Number: 86-73-7, in gas phase'@en",skos:Concept,"C13H10 (9H-fluorene, fluorene), in air",'334',OoI,with Matrix,C13H10 (9H-fluorene,,
100,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/335>,335,stable,"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase, PM10'@en",skos:Concept,"C14H10 (anthracene), PM10",'335',OoI,with Matrix and Constraint,C14H10 (anthracene),,
101,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/336>,336,stable,"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase'@en",skos:Concept,"C14H10 (anthracene), in aerosol",'336',OoI,with Constraint,C14H10 (anthracene),,
102,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/337>,337,stable,"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in aerosol'@en",skos:Concept,"C14H10 (anthracene), in air and aerosol",'337',OoI,with Constraint,C14H10 (anthracene),,
103,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/338>,338,stable,"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in gas phase'@en",skos:Concept,"C14H10 (anthracene), in air",'338',OoI,with Constraint,C14H10 (anthracene),,
104,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/339>,339,stable,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in particle phase, PM10'@en",skos:Concept,"C14H10 (phenanthrene), PM10",'339',OoI,with Matrix and Constraint,C14H10 (phenanthrene),,
105,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/340>,340,stable,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in particle phase'@en",skos:Concept,"C14H10 (phenanthrene), in aerosol",'340',OoI,with Constraint,C14H10 (phenanthrene),,
106,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/341>,341,stable,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in gas phase'@en",skos:Concept,"C14H10 (phenanthrene), in air",'341',OoI,with Matrix,C14H10 (phenanthrene),,
107,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/342>,342,stable,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in aerosol'@en",skos:Concept,"C14H10 (phenanthrene), in air and aerosol",'342',OoI,with Matrix,C14H10 (phenanthrene),,
108,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/343>,343,stable,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in wet deposition'@en",skos:Concept,"C14H10 (phenanthrene), in wet deposition",'343',OoI,with Matrix,C14H10 (phenanthrene),,
109,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/344>,344,stable,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in total precipitation'@en",skos:Concept,"C14H10 (phenanthrene), in total precipitation",'344',OoI,with Matrix,C14H10 (phenanthrene),,
110,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/345>,345,stable,"'IUPAC: pyrene, PubChem CID: 31423, CAS Number: 129-00-0, in aerosol'@en",skos:Concept,"C16H10 (pyrene), in air and aerosol",'345',OoI,with Matrix,C16H10 (pyrene),,
111,<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/346>,346,stable,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase, PM10'@en",skos:Concept,"C18H12 (benz(a)anthracene), PM10",'346',OoI,with Matrix and Constraint,C18H12 (benz(a)anthracene),,
