notation,path,name,description
349,"hydrological, water stage, in situ, non-recording",Staff gauge,"Determination of water stage by means of a graduated vertical scale, fixed to a staff or structure, on which the water level may be read. Synonym: vertical gauge. [Based on 'Staff gauge' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
350,"hydrological, water stage, in situ, non-recording",Inclined gauge,Determination of water stage by means of a non-vertical scale which is graduated to indicate vertical heights. [Based on 'inclined gauge' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
351,"hydrological, water stage, in situ, non-recording",Wire-weight gauge,Determination of water stage by means of a fine cable or wire attached to a weight which is lowered to the water surface in order to determine its position below a fixed above-surface point. [Based on 'wire weight gauge' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
352,"hydrological, water stage, in situ, non-recording",Point gauge,"Level measurement gauge, the essential element of which is a pointed rod that is lowered until it touches the water surface. [International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
353,"hydrological, water stage, in situ",Maximum-stage gauge,"Determination of the elevation of the flood crest by the adherence of regranulated cork to a graduated staff held in a fixed position with relation to the datum. [Based on 'maximum-stage gauge' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]"
354,"hydrological, water stage, in situ, recording",Recording gauge,"Determination of water stage by means of a recording gauge, for example, a device that automatically records the water level as detected by a sensor, either continuously or at regular time intervals. Synonyms: limnigraph, stage recorder, water-level recorder. [Based on 'water-level recorder' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
355,"hydrological, water stage, in situ, recording",Wire-float recording gauge (hydrograph),Determination of water stage by means of a gauge consisting of a float which rises and falls with changes in the water level; this movement being transmitted to a recording or indicating device. [Based on 'float gauge' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
356,"hydrological, water stage, in situ, recording",Pressure-actuated recording gauge,"Recording gauge operating on the principle that static pressure at a fixed point in the stream is directly proportional to the head of liquid above the point, i.e. the water level is proportional to the pressure difference between a fixed spot in the water column and the atmospheric pressure. [Based on 'Recording gauges' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]"
357,"hydrological, discharge, in situ",Velocity-area method,"Method of determining the discharge of a stream by measuring the width, velocity, and depth of the flowing water at a number of elemental areas, over the cross-section, and summing the products. [Based on 'velocity-area method' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
358,"hydrological, velocity, in situ",Float gauging,Measurement of the velocity of a stream by means of timing the downstream transit of a float or velocity rod. [International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
359,"hydrological, discharge, in situ",Dilution gauging,"Determination of the discharge of a stream by measuring the degree of dilution, caused by the flowing water, of an added tracer solution. Synonyms: chemical gauging, tracer dilution gauging. [Based on 'dilution gauging' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
360,"hydrological, discharge, equation",Slope-area method,"Determination of the discharge in a reach which is based on the surface slope, the reach roughness, the wetted perimeters and the flow areas of the various wetted cross-sections in the reach. [Based on 'slope-area method' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
361,"hydrological, discharge, in situ",Measuring weir,Determination of the discharge of a stream by means of a device or structure across the stream which causes a free or submerged fall. [Based on 'measuring weir' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
362,"hydrological, discharge, in situ",Flume,Determination of the discharge of a stream by means of a man-made channel with clearly specified shape and dimensions. [Based on 'flume' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
363,"hydrological, discharge, equation",Stage-discharge relation,"Determination of the discharge of a stream by means of a relationship between water level and discharge for a given cross-section, which may be expressed as a curve, a table or an equation. [Based on 'stage-discharge relation' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
364,"hydrological, velocity, in situ",Water current meter,"Determination of water velocity by means of a current meter, for example, an instrument for measuring water velocity. Synonym: flowmeter. [Based on 'current meter' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
365,"hydrological, velocity, in situ",Cup-type current meter,Determination of water velocity by means of a current meter whose rotor is composed of a wheel fitted with cups turning on a vertical axis. [Based on 'cup-type current meter' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
366,"hydrological, velocity, in situ",Propeller-type current meter,Determination of water velocity by means of a current meter in which the rotor is a propeller rotating around an axis parallel to the flow. [Based on 'propeller-type current meter' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
367,"hydrological, velocity, in situ",Acoustic (ultrasonic) velocity meter,Measurement of the difference in travel time of acoustic (ultrasonic) pulses between transducers in a stream to determine the mean velocity on the signal path. [Based on 'acoustic (ultrasonic) velocity meter' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]
368,"hydrological, velocity, discharge, in situ",Acoustic doppler current profiler (ADCP),"An instrument that uses an acoustic doppler transducer to measure water velocity, depth and vessel path simultaneously and at various depths to compute discharge. The total discharge is computed from the profile information using matrix multiplication. [Based on 'Acoustic Doppler Current Profilers' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]"
369,"hydrological, velocity, in situ",Acoustic doppler current meter,"Determination of stream velocity by means of an acoustic Doppler instrument, which measures the velocity of the water based on the Doppler shift experienced by an acoustic pulse of energy which is reflected off particles suspended in, and moving with, the water. [Based on 'Acoustic Doppler Velocimeter' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]"
370,"hydrological, sediment, in situ",Optical or nuclear suspended-sediment gauge,"Determination of the decrease of intensity of a visible light or X-rays beam by means of a photoelectric or nuclear detector situated at constant distance from the source of the beam. This decrease, caused by the scattering and/or absorption by suspended-sediment particles, is proportional to the sediment concentration, if other relevant characteristics of water and sediment (chemical, mineral composition, etc.) remain unchanged. [Based on 'photoelectric or nuclear suspended-sediment gauges' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]"
371,"hydrological, sediment, ex situ",Gravimetric sediment measurement,"Estimation of the total sediment in a water sample by allowing the sediment to settle in a container, siphoning off the supernatant water, carefully transferring all the sediment from the container on to filter paper, then drying the sample and determining the mass of total sediment. [Based on 'gravimetric method' in International Glossary of Hydrology (WMO-No. 385). 2012 edition.]"
372,"hydrological, sediment, ex situ",Displacement method of sediments,"Determination of sediment concentration by the measurement of the difference in weight between a sample of sediment-laden water and an equal volume of clear water at the same temperature. [Based on 'displacement method' in Manual on Sediment Management and Measurement (WMO-No. 948). 2003.]"
373,"hydrological, sediment, equation",Water discharge-sediment discharge rating curve,"An empirical relationship relating sediment discharge and streamflow based on correlation analysis of sediment samples and concurrent flow estimates and presented as a curve, table, or equation. [Based on 'sediment rating curve' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]"
374,"hydrological, sediment, equation",Water discharge-bed material rating curve,"An empirical relationship relating bed-material discharge and streamflow based on correlation analysis of sediment samples and concurrent flow estimates and presented as a curve, table, or equation. [Based on 'sediment rating curve' in Guide to Hydrological Practices (WMO-No. 168), Volume I. 2008 edition, updated in 2020.]"
375,"hydrological, discharge, in situ", Volumetric method,"A process for measuring the discharge of a well, spring, or stream by diverting its flow into a volumetric container and timing the fill."
377,"hydrological, discharge, equation",Stream index-velocity rating,"Computation of stream discharge based on a relation between stream index velocity and average velocity (index-velocity rating) and a relation between stage and cross-sectional area (stage-area rating). Given these ratings and concurrent observations of stream index velocity and stage, average velocity and area are computed and finally discharge as their product. [Based on Manual on Stream Gauging (WMO No. 1044), volume I]"
378,"hydrological, velocity, acoustic, doppler",Acoustic doppler velocity meter (ADVM),"Determination of water velocity by using the Doppler principle applied to sound transmitted under water, in which the instrument is mounted in a fixed position under the water, giving an index velocity for a significant part of the flowing stream. [Based on Manual on Stream Gauging (WMO No. 1044), volume I]"
inapplicable,,inapplicable,None of the codes in the table are applicable in the context of this particular observation.
unknown,,unknown,The measurement/observing method is unknown.
