#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e
89,argoEqChina,,>Co-sponsored>GOOS>Argo>ARGO EQ. CHINA,ARGO EQ. CHINA,NA
90,argoEqESPOMZ,,>Co-sponsored>GOOS>Argo>ARGO EQ. ESP-OMZ,ARGO EQ. ESP-OMZ,NA
91,argoEqFERHRI,,>Co-sponsored>GOOS>Argo>ARGO EQ. FERHRI,ARGO EQ. FERHRI,NA
92,argoEqFSU,,>Co-sponsored>GOOS>Argo>ARGO EQ. FSU,ARGO EQ. FSU,NA
93,argoEqHNFRI,,>Co-sponsored>GOOS>Argo>ARGO EQ. HNFRI,ARGO EQ. HNFRI,NA
94,argoEqIFM,,>Co-sponsored>GOOS>Argo>ARGO EQ. IFM,ARGO EQ. IFM,NA
95,argoEqIFM2,,>Co-sponsored>GOOS>Argo>ARGO EQ. IFM2,ARGO EQ. IFM2,NA
96,argoEqIreland,,>Co-sponsored>GOOS>Argo>ARGO EQ. IRELAND,ARGO EQ. IRELAND,NA
97,argoEqJamstec,,>Co-sponsored>GOOS>Argo>ARGO EQ. JAMSTEC,ARGO EQ. JAMSTEC,NA
98,argoEqJMA,,>Co-sponsored>GOOS>Argo>ARGO EQ. JMA,ARGO EQ. JMA,NA
99,argoEqNavoceano,,>Co-sponsored>GOOS>Argo>ARGO EQ. NAVOCEANO,ARGO EQ. NAVOCEANO,NA
100,argoEqNDBC,,>Co-sponsored>GOOS>Argo>ARGO EQ. NDBC,ARGO EQ. NDBC,NA
101,argoEqNIPR,,>Co-sponsored>GOOS>Argo>ARGO EQ. NIPR,ARGO EQ. NIPR,NA
102,argoEqNRIFS,,>Co-sponsored>GOOS>Argo>ARGO EQ. NRIFS,ARGO EQ. NRIFS,NA
103,argoEqOIST,,>Co-sponsored>GOOS>Argo>ARGO EQ. OIST,ARGO EQ. OIST,NA
104,argoEqORI,,>Co-sponsored>GOOS>Argo>ARGO EQ. ORI,ARGO EQ. ORI,NA
105,argoEqPMEL,,>Co-sponsored>GOOS>Argo>ARGO EQ. PMEL,ARGO EQ. PMEL,NA
106,argoEqPomme,,>Co-sponsored>GOOS>Argo>ARGO EQ. POMME,ARGO EQ. POMME,NA
107,argoEqSage,,>Co-sponsored>GOOS>Argo>ARGO EQ. SAGE,ARGO EQ. SAGE,NA
108,argoEqTNFRI,,>Co-sponsored>GOOS>Argo>ARGO EQ. TNFRI,ARGO EQ. TNFRI,NA
109,argoEqTSK,,>Co-sponsored>GOOS>Argo>ARGO EQ. TSK,ARGO EQ. TSK,NA
110,argoEqTU,,>Co-sponsored>GOOS>Argo>ARGO EQ. TU,ARGO EQ. TU,NA
111,argoEqUH,,>Co-sponsored>GOOS>Argo>ARGO EQ. UH,ARGO EQ. UH,NA
112,argoEqUHH,,>Co-sponsored>GOOS>Argo>ARGO EQ. UHH,ARGO EQ. UHH,NA
113,argoEqUMOSU,,>Co-sponsored>GOOS>Argo>ARGO EQ. UM-OSU,ARGO EQ. UM-OSU,NA
114,argoEqVocals,,>Co-sponsored>GOOS>Argo>ARGO EQ. VOCALS,ARGO EQ. VOCALS,NA
115,argoEqWHOI,,>Co-sponsored>GOOS>Argo>ARGO EQ. WHOI,ARGO EQ. WHOI,NA
116,argoFinland,,>Co-sponsored>GOOS>Argo>ARGO FINLAND,ARGO FINLAND,NA
117,argoGabon,,>Co-sponsored>GOOS>Argo>ARGO GABON,ARGO GABON,NA
118,argoGermany,,>Co-sponsored>GOOS>Argo>ARGO GERMANY,ARGO GERMANY,NA
119,argoGreece,,>Co-sponsored>GOOS>Argo>ARGO GREECE,ARGO GREECE,NA
120,argoIFMGeomar,,>Co-sponsored>GOOS>Argo>ARGO IFM-GEOMAR,ARGO IFM-GEOMAR,NA
121,argoIndia,,>Co-sponsored>GOOS>Argo>ARGO INDIA,ARGO INDIA,NA
122,argoIreland,,>Co-sponsored>GOOS>Argo>ARGO IRELAND,ARGO IRELAND,NA
123,argoItaly,,>Co-sponsored>GOOS>Argo>ARGO ITALY,ARGO ITALY,NA
124,argoJamstec,,>Co-sponsored>GOOS>Argo>ARGO JAMSTEC,ARGO JAMSTEC,NA
125,argoJMA,,>Co-sponsored>GOOS>Argo>ARGO JMA,ARGO JMA,NA
126,argoKenya,,>Co-sponsored>GOOS>Argo>ARGO KENYA,ARGO KENYA,NA
127,argoKiost,,>Co-sponsored>GOOS>Argo>ARGO KIOST,ARGO KIOST,NA
128,argoLebanon,,>Co-sponsored>GOOS>Argo>ARGO LEBANON,ARGO LEBANON,NA
129,argoMauritius,,>Co-sponsored>GOOS>Argo>ARGO MAURITIUS,ARGO MAURITIUS,NA
130,argoMexCoUS,,>Co-sponsored>GOOS>Argo>ARGO MEX-CO-US,ARGO MEX-CO-US,NA
131,argoMexico,,>Co-sponsored>GOOS>Argo>ARGO MEXICO,ARGO MEXICO,NA
132,argoNetherlands,,>Co-sponsored>GOOS>Argo>ARGO NETHERLANDS,ARGO NETHERLANDS,NA
133,argoNewZealand,,>Co-sponsored>GOOS>Argo>ARGO NEW ZEALAND,ARGO NEW ZEALAND,NA
134,argoMIMRKMA,,>Co-sponsored>GOOS>Argo>ARGO NIMR/KMA,ARGO NIMR/KMA,NA
135,argoNorway,,>Co-sponsored>GOOS>Argo>ARGO NORWAY,ARGO NORWAY,NA
136,argoPMEL,,>Co-sponsored>GOOS>Argo>ARGO PMEL,ARGO PMEL,NA
137,argoPoland,,>Co-sponsored>GOOS>Argo>ARGO POLAND,ARGO POLAND,NA
138,argoRussia,,>Co-sponsored>GOOS>Argo>ARGO RUSSIA,ARGO RUSSIA,NA
139,argoSaudiArabia,,>Co-sponsored>GOOS>Argo>ARGO SAUDI ARABIA,ARGO SAUDI ARABIA,NA
140,argoSIO,,>Co-sponsored>GOOS>Argo>ARGO SIO,ARGO SIO,NA
141,argoSIOEqASIRI,,>Co-sponsored>GOOS>Argo>ARGO SIO EQ (ASIRI),ARGO SIO EQ (ASIRI),NA
142,argoSIOEqOKMC,,>Co-sponsored>GOOS>Argo>ARGO SIO EQ. (OKMC),ARGO SIO EQ. (OKMC),NA
143,argoSouthAfrica,,>Co-sponsored>GOOS>Argo>ARGO SOUTH AFRICA,ARGO SOUTH AFRICA,NA
144,argoSpain,,>Co-sponsored>GOOS>Argo>ARGO SPAIN,ARGO SPAIN,NA
145,argoSriLanka,,>Co-sponsored>GOOS>Argo>ARGO SRI LANKA,ARGO SRI LANKA,NA
146,argoTWREng,,>Co-sponsored>GOOS>Argo>ARGO TWR ENGINEERING,ARGO TWR ENGINEERING,NA
147,argoUK,,>Co-sponsored>GOOS>Argo>ARGO UK,ARGO UK,NA
148,argoUKBIO,,>Co-sponsored>GOOS>Argo>ARGO UK BIO,ARGO UK BIO,NA
149,argoUKEq,,>Co-sponsored>GOOS>Argo>ARGO UK EQ.,ARGO UK EQ.,NA
150,argoUW,,>Co-sponsored>GOOS>Argo>ARGO UW,ARGO UW,NA
151,argoUWEq,,>Co-sponsored>GOOS>Argo>ARGO UW EQ.,ARGO UW EQ.,NA
152,argoUWAplEq,,>Co-sponsored>GOOS>Argo>ARGO UW-APL EQ.,ARGO UW-APL EQ.,NA
153,argoUWMbariEq,,>Co-sponsored>GOOS>Argo>ARGO UW-MBARI EQ.,ARGO UW-MBARI EQ.,NA
154,argoUWSoccomEq,,>Co-sponsored>GOOS>Argo>ARGO UW-SOCCOM EQ.,ARGO UW-SOCCOM EQ.,NA
155,argoUWSpursEq,,>Co-sponsored>GOOS>Argo>ARGO UW-SPURS  EQ.,ARGO UW-SPURS  EQ.,NA
156,argoUWUAEq,,>Co-sponsored>GOOS>Argo>ARGO UW-UA EQ.,ARGO UW-UA EQ.,NA
157,argoWHOI,,>Co-sponsored>GOOS>Argo>ARGO WHOI,ARGO WHOI,NA
158,argoWHOIEqIR,,>Co-sponsored>GOOS>Argo>ARGO WHOI EQ. IR,ARGO WHOI EQ. IR,NA
159,argoWHOIMRVEq,,>Co-sponsored>GOOS>Argo>ARGO WHOI-MRV EQ.,ARGO WHOI-MRV EQ.,NA
160,asapAWI,,>Co-sponsored>GOOS>SOT>ASAP>ASAP-AWI,ASAP-AWI,NA
161,dbcpAWIDB,,>Co-sponsored>GOOS>DBCP>AWI-DB,AWI-DB,NA
162,dbcpBomDB,,>Co-sponsored>GOOS>DBCP>BOM DB,BOM DB,NA
163,dbcpBomTSU,,>Co-sponsored>GOOS>DBCP>BOM-TSU,BOM-TSU,NA
164,dbcpBPInc,,>Co-sponsored>GOOS>DBCP>BP INC,BP INC,NA
165,dbcpBrazilPNBOIAINPE,,>Co-sponsored>GOOS>DBCP>BRAZIL PNBOIA-INPE,BRAZIL PNBOIA-INPE,NA
166,dbcpBshDWDFixed,,>Co-sponsored>GOOS>DBCP>BSH-DWD-FIXED,BSH-DWD-FIXED,NA
167,dbcpBshDWDMD,,>Co-sponsored>GOOS>DBCP>BSH-DWD-MB,BSH-DWD-MB,NA
168,dbcpBshMB,,>Co-sponsored>GOOS>DBCP>BSH-MB,BSH-MB,NA
169,argoBulargo,,>Co-sponsored>GOOS>Argo>BULARGO,BULARGO,NA
170,dbcpCandhis,,>Co-sponsored>GOOS>DBCP>CANDHIS,CANDHIS,NA
171,dbcpCaricoos,,>Co-sponsored>GOOS>DBCP>CARICOOS,CARICOOS,NA
172,dbcpCarioca,,>Co-sponsored>GOOS>DBCP>CARIOCA,CARIOCA,NA
173,dbcpCDIP,,>Co-sponsored>GOOS>DBCP>CDIP,CDIP,NA
174,dbcpColombiaTSU,,>Co-sponsored>GOOS>DBCP>COLOMBIA-TSU,COLOMBIA-TSU,NA
175,argoCoriolis,,>Co-sponsored>GOOS>Argo>CORIOLIS,CORIOLIS,NA
176,argoCoriolisBioargo,,>Co-sponsored>GOOS>Argo>CORIOLIS-BIOARGO,CORIOLIS-BIOARGO,NA
177,argoCoriolisCanoa,,>Co-sponsored>GOOS>Argo>CORIOLIS-CANOA,CORIOLIS-CANOA,NA
178,argoCoriolisCongas,,>Co-sponsored>GOOS>Argo>CORIOLIS-CONGAS,CORIOLIS-CONGAS,NA
179,argoCoriolisDrake,,>Co-sponsored>GOOS>Argo>CORIOLIS-DRAKE,CORIOLIS-DRAKE,NA
180,argoCoriolisEGEE,,>Co-sponsored>GOOS>Argo>CORIOLIS-EGEE,CORIOLIS-EGEE,NA
181,argoCoriolisEqypt,,>Co-sponsored>GOOS>Argo>CORIOLIS-EGYPT,CORIOLIS-EGYPT,NA
182,argoCoriolisFlops,,>Co-sponsored>GOOS>Argo>CORIOLIS-FLOPS,CORIOLIS-FLOPS,NA
183,argoCoriolisFlostral,,>Co-sponsored>GOOS>Argo>CORIOLIS-FLOSTRAL,CORIOLIS-FLOSTRAL,NA
184,argoCoriolisFNOBJCOMMOPS,,>Co-sponsored>GOOS>Argo>CORIOLIS-FNOB-JCOMMOPS,CORIOLIS-FNOB-JCOMMOPS,NA
185,argoCoriolisFrontalis,,>Co-sponsored>GOOS>Argo>CORIOLIS-FRONTALIS,CORIOLIS-FRONTALIS,NA
186,argoCoriolisGoodHope,,>Co-sponsored>GOOS>Argo>CORIOLIS-GOOD HOPE,CORIOLIS-GOOD HOPE,NA
187,argoCoriolisOvide,,>Co-sponsored>GOOS>Argo>CORIOLIS-OVIDE,CORIOLIS-OVIDE,NA
188,argoCoriolisPirata,,>Co-sponsored>GOOS>Argo>CORIOLIS-PIRATA,CORIOLIS-PIRATA,NA
189,argoCoriolisPrevimer,,>Co-sponsored>GOOS>Argo>CORIOLIS-PREVIMER,CORIOLIS-PREVIMER,NA
190,argoCoriolisProsat,,>Co-sponsored>GOOS>Argo>CORIOLIS-PROSAT,CORIOLIS-PROSAT,NA
191,argoCoriolisRemocean,,>Co-sponsored>GOOS>Argo>CORIOLIS-REMOCEAN,CORIOLIS-REMOCEAN,NA
192,argoCoriolisSpice,,>Co-sponsored>GOOS>Argo>CORIOLIS-SPICE,CORIOLIS-SPICE,NA
193,argoCoriolisTrack,,>Co-sponsored>GOOS>Argo>CORIOLIS-TRACK,CORIOLIS-TRACK,NA
194,dbcpCormpNC,,>Co-sponsored>GOOS>DBCP>CORMP-NC,CORMP-NC,NA
195,dbcp,,>Co-sponsored>GOOS>DBCP>DBCP,DBCP,NA
196,argoDekosim,,>Co-sponsored>GOOS>Argo>DEKOSIM,DEKOSIM,NA
197,cbcpDFODB,,>Co-sponsored>GOOS>DBCP>DFO DB,DFO DB,NA
198,argoEAims,,>Co-sponsored>GOOS>Argo>E-AIMS,E-AIMS,NA
199,eAsap,,>Co-sponsored>GOOS>SOT>ASAP>E-ASAP,E-ASAP,NA
200,eSurfmar,,>Co-sponsored>GOOS>DBCP>E-SURFMAR,E-SURFMAR,NA
201,eSurfmarIrishIMI,,>Co-sponsored>GOOS>DBCP>E-SURFMAR-IRISH IMI,E-SURFMAR-IRISH IMI,NA
202,eSurfmarNOAA,,>Co-sponsored>GOOS>DBCP>E-SURFMAR-NOAA,E-SURFMAR-NOAA,NA
203,eSurfmarUKMB,,>Co-sponsored>GOOS>DBCP>E-SURFMAR-UK MB,E-SURFMAR-UK MB,NA
204,eSurfmarUKFRMB,,>Co-sponsored>GOOS>DBCP>E-SURFMAR-UK/FR MB,E-SURFMAR-UK/FR MB,NA
205,dbcpECDB,,>Co-sponsored>GOOS>DBCP>EC DB,EC DB,NA
206,dbcpECMB,,>Co-sponsored>GOOS>DBCP>EC MB,EC MB,NA
207,argoEurargo,,>Co-sponsored>GOOS>Argo>EUROARGO,EUROARGO,NA
208,dbcpEurositesPlanier,,>Co-sponsored>GOOS>DBCP>EUROSITES PLANIER,EUROSITES PLANIER,NA
209,dbcpFerhriTSU,,>Co-sponsored>GOOS>DBCP>FERHRI-TSU,FERHRI-TSU,NA
210,dbcpGermanyMB,,>Co-sponsored>GOOS>DBCP>GERMANY MB,GERMANY MB,NA
211,dbcpGloscal,,>Co-sponsored>GOOS>DBCP>GLOSCAL,GLOSCAL,NA
212,dbcpGreeceMB,,>Co-sponsored>GOOS>DBCP>GREECE MB,GREECE MB,NA
213,argoGyroscope,,>Co-sponsored>GOOS>Argo>GYROSCOPE,GYROSCOPE,NA
214,dbcpIABP,,>Co-sponsored>GOOS>DBCP>IABP,IABP,NA
215,dbcpIABPCanada,,>Co-sponsored>GOOS>DBCP>IABP CANADA,IABP CANADA,NA
216,dbcpIABPNIC,,>Co-sponsored>GOOS>DBCP>IABP NIC,IABP NIC,NA
217,dbcpIABPUS,,>Co-sponsored>GOOS>DBCP>IABP US,IABP US,NA
218,dbcpIABPEC,,>Co-sponsored>GOOS>DBCP>IABP-EC,IABP-EC,NA
219,dbcpIABPUW,,>Co-sponsored>GOOS>DBCP>IABP-UW,IABP-UW,NA
220,dbcpIBPIO,,>Co-sponsored>GOOS>DBCP>IBPIO,IBPIO,NA
221,dbcpINCOISTSU,,>Co-sponsored>GOOS>DBCP>INCOIS-TSU,INCOIS-TSU,NA
222,dbcpIndiaNIO,,>Co-sponsored>GOOS>DBCP>INDIA NIO,INDIA NIO,NA
223,dbcpIndiaNIOTSU,,>Co-sponsored>GOOS>DBCP>INDIA NIO-TSU,INDIA NIO-TSU,NA
224,dbcpIndiaNIOT,,>Co-sponsored>GOOS>DBCP>INDIA-NIOT,INDIA-NIOT,NA
225,dbcpINOCARTSU,,>Co-sponsored>GOOS>DBCP>INOCAR-TSU,INOCAR-TSU,NA
226,dbcpItalyDB,,>Co-sponsored>GOOS>DBCP>ITALY DB,ITALY DB,NA
227,dbcpItalyOGS,,>Co-sponsored>GOOS>DBCP>ITALY-OGS,ITALY-OGS,NA
228,argoDamocles,,>Co-sponsored>GOOS>Argo>ITP-DAMOCLES,ITP-DAMOCLES,NA
229,argoItpWHOI,,>Co-sponsored>GOOS>Argo>ITP-WHOI,ITP-WHOI,NA
230,dbcpJMADB,,>Co-sponsored>GOOS>DBCP>JMA DB,JMA DB,NA
231,dbcpJMATSU,,>Co-sponsored>GOOS>DBCP>JMA-TSU,JMA-TSU,NA
232,dbcpKMAMB,,>Co-sponsored>GOOS>DBCP>KMA MB,KMA MB,NA
233,dbcpLocean,,>Co-sponsored>GOOS>DBCP>LOCEAN,LOCEAN,NA
234,argoMedargo,,>Co-sponsored>GOOS>Argo>MEDARGO,MEDARGO,NA
235,argoMeridianGoodHope,,>Co-sponsored>GOOS>Argo>MERIDIAN GOODHOPE,MERIDIAN GOODHOPE,NA
236,argoMersea,,>Co-sponsored>GOOS>Argo>MERSEA,MERSEA,NA
237,dbcpMeteoFranceDB,,>Co-sponsored>GOOS>DBCP>METEO FRANCE DB,METEO FRANCE DB,NA
238,dbcpMeteoFranceMB,,>Co-sponsored>GOOS>DBCP>METEO FRANCE MB,METEO FRANCE MB,NA
239,dbcpMeteoFranceWB,,>Co-sponsored>GOOS>DBCP>METEO FRANCE WB,METEO FRANCE WB,NA
240,argoNaosFrance,,>Co-sponsored>GOOS>Argo>NAOS-FRANCE,NAOS-FRANCE,NA
241,dbcpNCCOOS,,>Co-sponsored>GOOS>DBCP>NCCOOS,NCCOOS,NA
242,dbcpNDBCBP,,>Co-sponsored>GOOS>DBCP>NDBC-BP,NDBC-BP,NA
243,dbcpNDBCCOE,,>Co-sponsored>GOOS>DBCP>NDBC-COE,NDBC-COE,NA
244,dbcpNDBCCSI,,>Co-sponsored>GOOS>DBCP>NDBC-CSI,NDBC-CSI,NA
245,dbcpNDBCMB,,>Co-sponsored>GOOS>DBCP>NDBC-MB,NDBC-MB,NA
246,dbcpNDBCMBARI,,>Co-sponsored>GOOS>DBCP>NDBC-MBARI,NDBC-MBARI,NA
247,dbcpNDBCNASA,,>Co-sponsored>GOOS>DBCP>NDBC-NASA,NDBC-NASA,NA
248,dbcpcNOAANWS,,>Co-sponsored>GOOS>DBCP>NDBC-NOAA-NWS,NDBC-NOAA-NWS,NA
249,dbcpNDBCTABS,,>Co-sponsored>GOOS>DBCP>NDBC-TABS,NDBC-TABS,NA
250,dbcpNDBCTSU,,>Co-sponsored>GOOS>DBCP>NDBC-TSU,NDBC-TSU,NA
251,dbcpNDBCUSCG,,>Co-sponsored>GOOS>DBCP>NDBC-USCG,NDBC-USCG,NA
252,dbcpNDWCTSU,,>Co-sponsored>GOOS>DBCP>NDWC-TSU,NDWC-TSU,NA
253,dbcpNewZealandDB,,>Co-sponsored>GOOS>DBCP>NEW ZEALAND DB,NEW ZEALAND DB,NA
254,dbcpNOAACBIBS,,>Co-sponsored>GOOS>DBCP>NOAA-CBIBS,NOAA-CBIBS,NA
255,dbcpNorwayIMR,,>Co-sponsored>GOOS>DBCP>NORWAY-IMR,NORWAY-IMR,NA
