WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,
NA,,>Atmosphere>Clouds>Effective radius of cloud hydrometeors,Effective radius of cloud hydrometeors,NA,
NA,,>Atmosphere>Total Atmospheric Deposition>Electric conductivity,Electric conductivity,NA,
NA,,>Outer Space>Ionospheric disturbances>Electric Field,Electric Field,Magnitude and direction of the Earth's electric field.,
NA,,>Outer Space>Ionospheric disturbances>Electron Density,Electron Density,Electron density in the ionosphere. Often reported as a 3-D field.,
NA,,>Outer Space>Energetic particles / solar wind >Particle flux>Electron differential directional flux,Electron differential directional flux,"Flux density energy spectrum of low-, medium-, and high-energy electrons from the magnetosphere, the radiation belts or the interplanetary medium, per unit solid angle",
NA,,>Outer Space>Energetic particles / solar wind >Particle flux>Electron flux density,Electron flux density,"Flux density of low-, medium-, and high-energy electrons from the magnetosphere, the radiation belts or the interplanetary medium.",
NA,,>Outer Space>Energetic particles / solar wind >Electron flux energy spectrum,Electron flux energy spectrum,"Flux density energy spectrum of low-, medium-, and high-energy electrons from the magnetosphere, the radiation belts or the interplanetary medium.",
NA,,>Outer Space>Energetic particles / solar wind >Particle flux>Electron integral directional flux,Electron integral directional flux,"Flux density of low-, medium-, and high-energy electrons from the magnetosphere, the radiation belts or the interplanetary medium, per unit solid angle.",
NA,,>Outer Space>Energetic particles / solar wind >Electrostatic charge,Electrostatic charge,Measurement of the electrostatic charge of a satellite accumulated because of the environmental situation.,
NA,,>Outer Space>Energetic particles / solar wind,Energetic particles / solar wind,NA,
NA,,>Outer Space>Solar monitoring>EUV flux,EUV flux,Radiative flux integrated over the EUV band.,
NA,,>Outer Space>Solar monitoring>EUV flux spectrum,EUV flux spectrum,Energy spectrum of the radiative flux measured in the EUV band.,
NA,,>Outer Space>Solar monitoring>EUV sky image,EUV sky image,Extreme Ultra-Violet (EUV) image of the sky.,
NA,,>Terrestrial>Land surface>Humidity>Evaporation,Evaporation,Quantity of water evaporated from the soil and plants when the ground is at its natural moisture content.,
NA,,>Atmosphere>Visibility>Obscurations>Extinction coefficient,Extinction coefficient,NA,
NA,,">Atmosphere>Temperature>Extreme temperature (min, max) (at specified distance from reference surface)","Extreme temperature (min, max) (at specified distance from reference surface)",NA,
NA,,>Terrestrial>Land surface>Fire,Fire,NA,
NA,,>Terrestrial>Land surface>Fire>Fire fractional cover,Fire fractional cover,Fraction of a land area where fire is occurring.,
NA,,>Terrestrial>Land surface>Fire>Fire radiative power,Fire radiative power,Power radiated by the fire occurring within an area.,
NA,,>Terrestrial>Land surface>Fire>Fire temperature,Fire temperature,Temperature of the fire occurring within an area.,
oceanFluorescence,,>Ocean>Miscellaneous>Fluorescence (DOM),Fluorescence (DOM),Flurometric coloured dissolved Organic matter concentration.,
NA,,>Outer Space>Ionospheric disturbances>foEs,foEs,The highest ordinary-wave frequency reflected back from a sporadic E layer and observed by an ionosonde.,
NA,,>Outer Space>Ionospheric disturbances>foF2,foF2,"Critical frequency of the F2 layer of the ionosphere. This critical frequency (f, in MHz) is associated with the electron density.",
NA,,>Terrestrial>Land surface>Radiation>Fraction of Absorbed PAR (FAPAR),Fraction of Absorbed PAR (FAPAR),Fraction of PAR absorbed by vegetation (land or marine) for photosynthesis processes (generally around the 'red' frequencies).,
NA,,>Terrestrial>Land surface>Vegetation>Fraction of vegetated land,Fraction of vegetated land,Fraction of a land area where vegetation is present.,
NA,,>Atmosphere>Clouds>Ice>Freezing level height in clouds,Freezing level height in clouds,Height of the atmospheric layer in cloud where liquid-solid states transform into each other.,
NA,,>Outer Space>Solar monitoring>Gamma-ray flux,Gamma-ray flux,Radiative flux integrated over the gamma-ray domain.,
NA,,>Outer Space>Solar monitoring>Gamma-ray flux spectrum,Gamma-ray flux spectrum,Energy spectrum of the radiative flux measured in the gamma-ray domain.,
NA,,>Earth>Geoid,Geoid,"Equipotential surface which would coincide exactly with the mean ocean surface of the Earth, if the oceans were in equilibrium, at rest, and extended through the continents (such as with very narrow channels).",
NA,,>Earth>Geomagnetic field,Geomagnetic field,Magnitude and direction of the 3D magnetic field on the surface of Earth and within the magnetosphere.,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Glacier,Glacier,NA,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Glacier>Glacier cover,Glacier cover,Fraction of a land area covered by permanent ice.,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Glacier>Glacier motion,Glacier motion,Velocity of the ice measured at the surface of a glacier.,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Glacier>Glacier topography,Glacier topography,Map of the height of the glacier surface.,
NA,,>Atmosphere>Radiation>Solar>Global solar radiation (downwelling),Global solar radiation (downwelling),NA,
NA,,>Atmosphere>Radiation>Solar>Global solar radiation (upwelling),Global solar radiation (upwelling),NA,
NA,,>Earth>Gravity field,Gravity field,Indicative of the statics and dynamics of the lithosphere and the mantle.,
NA,,>Earth>Gravity gradients,Gravity gradients,Gradient of the Earth’s gravity field measured at the satellite orbital height.,
NA,,>Atmosphere>Greenhouse Gas,Greenhouse Gas,NA,
NA,,>Terrestrial>Land surface>Greenhouse Gas,Greenhouse Gas,NA,
NA,,>Ocean>Greenhouse Gas,Greenhouse Gas,NA,
NA,,>Terrestrial>Ground water,Ground water,NA,
NA,,>Terrestrial>Ground water>Ground water (amount per unit area),Ground water (amount per unit area),Amount of water present beneath the ground surface per unit area.,
NA,,>Terrestrial>Ground water>Ground water (level),Ground water (level),NA,
NA,,>Atmosphere>Wind>Gust Speed,Gust Speed,NA,
NA,,>Atmosphere>Greenhouse Gas>Halocarbons,Halocarbons,NA,
NA,,>Atmosphere>Greenhouse Gas>Halon,Halon,NA,
NA,,>Atmosphere>Greenhouse Gas>HCFCs,HCFCs,NA,
NA,,>Outer Space>Energetic particles / solar wind >Heavy ion angular flux energy and mass spectrum,Heavy ion angular flux energy and mass spectrum,"Flux density energy and mass spectrum of heavy ions ranging from Helium to Iron, per unit solid angle.",
NA,,>Outer Space>Energetic particles / solar wind >Particle flux>Heavy ion differential directional flux,Heavy ion differential directional flux,Flux density of heavy ions (heavier than Helium) per unit solid angle.,
NA,,>Outer Space>Energetic particles / solar wind >Heavy ion flux energy and mass spectrum,Heavy ion flux energy and mass spectrum,Flux density energy and mass spectrum of heavy ions ranging from Helium to Iron.,
NA,,>Outer Space>Energetic particles / solar wind >Particle flux>Heavy ion integral directional flux,Heavy ion integral directional flux,Flux density of heavy ions ranging from Helium to Iron.,
NA,,>Atmosphere>Clouds>Position>Height of cloud base,Height of cloud base,NA,
NA,,>Atmosphere>Clouds>Position>Height of cloud top,Height of cloud top,NA,
NA,,>Atmosphere>Clouds>Position>Height of inversion,Height of inversion,NA,
NA,,>Outer Space>Solar monitoring>Heliospheric image,Heliospheric image,Image of the interplanetary space between the Sun and Earth,
NA,,>Outer Space>Ionospheric disturbances>h'F,h'F,Virtual height of the bottom of the ionospheric F-layer.,
NA,,>Atmosphere>Greenhouse Gas>HFCs,HFCs,NA,
NA,,>Outer Space>Ionospheric disturbances>hmF2,hmF2,Altitude of the peak density in the ionospheric F2 layer.,
NA,,>Atmosphere>Humidity,Humidity,NA,
NA,,>Terrestrial>Land surface>Humidity,Humidity,NA,
NA,,>Terrestrial>Soil>Humidity,Humidity,NA,
NA,,>Atmosphere>Humidity>Humidity  (at specified distance from reference surface),Humidity  (at specified distance from reference surface),NA,
NA,,>Atmosphere>Total Atmospheric Deposition>Hydrogen ion (H+) or pH,Hydrogen ion (H+) or pH,NA,
NA,,>Atmosphere>Visibility>Obscurations>Hydrometeor radius,Hydrometeor radius,NA,
NA,,>Atmosphere>Visibility>Obscurations>Hydrometeor type,Hydrometeor type,NA,
NA,,">Atmosphere>Aerosol>Physical properties - secondary>Hygroscopic growth factor, 110 ?m equivalent","Hygroscopic growth factor, 110 ?m equivalent",NA,
NA,,">Atmosphere>Aerosol>Physical properties - secondary>Hygroscopic growth factor, 165 ?m equivalent","Hygroscopic growth factor, 165 ?m equivalent",NA,
NA,,">Atmosphere>Aerosol>Physical properties - secondary>Hygroscopic growth factor, 35 ?m equivalent","Hygroscopic growth factor, 35 ?m equivalent",NA,
NA,,">Atmosphere>Aerosol>Physical properties - secondary>Hygroscopic growth factor, 50 ?m equivalent","Hygroscopic growth factor, 50 ?m equivalent",NA,
NA,,">Atmosphere>Aerosol>Physical properties - secondary>Hygroscopic growth factor, 75 ?m equivalent","Hygroscopic growth factor, 75 ?m equivalent",NA,
NA,,">Atmosphere>Aerosol>Physical properties - secondary>Hygroscopic growth factor, total aerosol","Hygroscopic growth factor, total aerosol",NA,
NA,,>Atmosphere>Clouds>Ice,Ice,NA,
NA,,>Ocean>Snow / Ice / Glacier>Ice,Ice,NA,
NA,,>Terrestrial>Lake>Snow / Ice / Glacier>Ice,Ice,NA,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Ice,Ice,NA,
NA,,>Terrestrial>River>Snow / Ice / Glacier>Ice,Ice,NA,
NA,,>Terrestrial>Land surface>Snow / Ice / Glacier>Ice>Ice sheet topography,Ice sheet topography,Map of ice sheet height over land .,
NA,,>Terrestrial>Lake>Snow / Ice / Glacier>Ice>Ice thickness,Ice thickness,NA,
NA,,>Terrestrial>River>Snow / Ice / Glacier>Ice>Ice thickness,Ice thickness,NA,
NA,,>Atmosphere>Clouds>Ice>Icing potential,Icing potential,"Super-cooled liquid water, enabling the formation of ice coating on an object. ",
NA,,>Atmosphere>Total Atmospheric Deposition>Inorganic acid,Inorganic acid,NA,
NA,,>Atmosphere>Aerosol>Composition>Inorganic anions,Inorganic anions,NA,
NA,,>Atmosphere>Total Atmospheric Deposition>Inorganic anions,Inorganic anions,NA,
NA,,>Atmosphere>Aerosol>Composition>Inorganic carbonaceous,Inorganic carbonaceous,NA,
NA,,>Atmosphere>Aerosol>Composition>Inorganic cations,Inorganic cations,NA,
NA,,>Atmosphere>Total Atmospheric Deposition>Inorganic cations,Inorganic cations,NA,
NA,,>Atmosphere>Aerosol>Composition>Inorganic nitrogen species,Inorganic nitrogen species,NA,
NA,,>Atmosphere>Total Atmospheric Deposition>Inorganic nitrogen species,Inorganic nitrogen species,NA,
NA,,>Atmosphere>Integrated air samples,Integrated air samples,NA,
NA,,>Atmosphere>Humidity>Integrated water vapour,Integrated water vapour,NA,
NA,,>Atmosphere>Precipitation>Intensity of precipitation,Intensity of precipitation,NA,
NA,,>Outer Space>Energetic particles / solar wind >Interplanetary magnetic field,Interplanetary magnetic field,Vector magnetic field (3D) in the solar wind.,
NA,,>Outer Space>Ionospheric disturbances,Ionospheric disturbances,NA,
NA,,>Outer Space>Ionospheric disturbances>Ionospheric plasma density,Ionospheric plasma density,Total number of ionized particles in a volume unit of ionospheric plasma.,
NA,,>Outer Space>Ionospheric disturbances>Ionospheric plasma velocity,Ionospheric plasma velocity,Velocity of bulk plasma or electrons (depending on measurement technique) as a function of altitude in the ionosphere.,
NA,,>Outer Space>Ionospheric disturbances>Ionospheric Radio Absorption,Ionospheric Radio Absorption,Attenuation of a radio wave passing through the lower ionosphere.,
NA,,>Outer Space>Ionospheric disturbances>Ionospheric Scintillation,Ionospheric Scintillation,Random fluctuations of radio waves resulting of small scale variations of the ionospheric electron density in space and time.,
NA,,>Outer Space>Ionospheric disturbances>Ionospheric Vertical Total Electron Content (VTEC),Ionospheric Vertical Total Electron Content (VTEC),Number of electrons between two points.,
NA,,>Atmosphere>Radiation>IR,IR,NA,
NA,,>Atmosphere>Radionuclide>Krypton [Kr-85],Krypton [Kr-85],Krypton (Kr-85 isotope),
NA,,>Terrestrial>Lake,Lake,NA,
NA,,>Terrestrial>Lake>Lake area,Lake area,Area extent of the surface of a lake.,
NA,,>Terrestrial>Lake>Lake level,Lake level,Map of the height of the lake surface.,
NA,,>Terrestrial>Lake>Temperature>Lake Surface Temperature,Lake Surface Temperature,Temperature of the lake surface.,
NA,,>Terrestrial>Land surface>Land cover,Land cover,Fraction of an area that is land.,
NA,,>Terrestrial>Land surface,Land surface,NA,
NA,,>Terrestrial>Land surface>Temperature>Land surface temperature,Land surface temperature,Temperature of the apparent surface of land (bare soil or vegetation).,
NA,,>Terrestrial>Land surface>Land surface topography,Land surface topography,Height of land surface.,
NA,,>Atmosphere>Radionuclide>Lead [Pb-210],Lead [Pb-210],Lead (Pb-210 isotope),
NA,,>Terrestrial>Land surface>Vegetation>Leaf Area Index (LAI),Leaf Area Index (LAI),"Total one-sided area of photosynthetic tissue per unit ground surface area (Leaf Area Index, LAI).",
NA,,">Atmosphere>Aerosol>Optical properties>Light absorption coefficient, PM1","Light absorption coefficient, PM1",NA,
NA,,">Atmosphere>Aerosol>Optical properties>Light absorption coefficient, PM10","Light absorption coefficient, PM10",NA,
NA,,">Atmosphere>Aerosol>Optical properties>Light absorption coefficient, total aerosol","Light absorption coefficient, total aerosol",NA,
NA,,">Atmosphere>Aerosol>Optical properties>Light backscattering coefficient, PM1","Light backscattering coefficient, PM1",NA,
NA,,">Atmosphere>Aerosol>Optical properties>Light backscattering coefficient, PM10","Light backscattering coefficient, PM10",NA,
NA,,">Atmosphere>Aerosol>Optical properties>Light backscattering coefficient, total aerosol","Light backscattering coefficient, total aerosol",NA,
NA,,">Atmosphere>Aerosol>Optical properties>Light scattering coefficient, PM1","Light scattering coefficient, PM1",NA,
NA,,">Atmosphere>Aerosol>Optical properties>Light scattering coefficient, PM10","Light scattering coefficient, PM10",NA,
NA,,">Atmosphere>Aerosol>Optical properties>Light scattering coefficient, total aerosol","Light scattering coefficient, total aerosol",NA,
NA,,>Atmosphere>Lightning,Lightning,NA,
NA,,>Atmosphere>Lightning>Position>Lightning detection (time and location),Lightning detection (time and location),"Time and location (latitude, longitude) of lightning events. ",
NA,,>Atmosphere>Lightning>Position>Lightning direction from station,Lightning direction from station,NA,
NA,,>Atmosphere>Lightning>Lightning discharge energy,Lightning discharge energy,NA,
NA,,>Atmosphere>Lightning>Lightning discharge polarity,Lightning discharge polarity,NA,
NA,,>Atmosphere>Lightning>Lightning discharge rates,Lightning discharge rates,NA,
NA,,">Atmosphere>Lightning>Lightning discharge type (cloud to cloud, cloud to surface)","Lightning discharge type (cloud to cloud, cloud to surface)",NA,
NA,,>Atmosphere>Lightning>Position>Lightning distance from station,Lightning distance from station,NA,
NA,,>Atmosphere>Clouds>Liquid water,Liquid water,NA,
NA,,>Atmosphere>Visibility>Obscurations>Lithometeor type,Lithometeor type,NA,
NA,,>Atmosphere>Radiation>IR>Long-wave radiation (direction unspecified),Long-wave radiation (direction unspecified),NA,
NA,,>Atmosphere>Radiation>IR>Long-wave radiation (downwelling),Long-wave radiation (downwelling),NA,
NA,,>Atmosphere>Radiation>IR>Long-wave radiation (upwelling),Long-wave radiation (upwelling),NA,
NA,,>Atmosphere>Aerosol>Composition>Major inorganic components,Major inorganic components,NA,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Mass concentration (coarse) or Mass PM10,Mass concentration (coarse) or Mass PM10,NA,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Mass concentration (fine) or Mass PM1,Mass concentration (fine) or Mass PM1,NA,
NA,,">Atmosphere>Aerosol>Physical properties - primary>Mass concentration (medium), PM2.5","Mass concentration (medium), PM2.5",NA,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Mass concentration (size fractionated),Mass concentration (size fractionated),NA,
NA,,>Atmosphere>Aerosol>Physical properties - primary>Mass concentration (total aerosol) or Mass TSP,Mass concentration (total aerosol) or Mass TSP,NA,
NA,,>Atmosphere>Humidity>Mass mixing ratio,Mass mixing ratio,NA,
oceanMeanDynamicTopography,,>Ocean>Topography>Mean dynamic topography (MDT),Mean dynamic topography (MDT),NA,
oceanMeanSeaSurface,,>Ocean>Topography>Mean sea surface (MSS),Mean sea surface (MSS),NA,
NA,,>Atmosphere>Clouds>Melting layer depth in clouds,Melting layer depth in clouds,Depth of the atmospheric layer in cloud where liquid-solid states transform into each other.,
NA,,>Atmosphere>Visibility>Obscurations>Meteorological Optical Range,Meteorological Optical Range,NA,
NA,,>Ocean>Miscellaneous,Miscellaneous,NA,
NA,,">Atmosphere>Aerosol>Optical properties>Multiwavelength optical depth, total aerosol","Multiwavelength optical depth, total aerosol",NA,
oceanN2ArO2,,">Ocean>Other Gas>N2, Ar, O2 ","N2, Ar, O2 ",NA,
NA,,>Atmosphere>Reactive Gas>Nitrogen containing compounds,Nitrogen containing compounds,NA,
NA,,>Ocean>Biology>Nitrogen species,Nitrogen species,NA,
NA,,>Ocean>Miscellaneous>Nitrogen species,Nitrogen species,NA,
oceanNitrite,,>Ocean>Biology>Nitrogen species>NO2- (nitrite),NO2- (nitrite),Nitrite concentration in sea water.,
oceanNitrate,,>Ocean>Biology>Nitrogen species>NO3- (nitrate),NO3- (nitrate),Nitrate concentration in sea water.,
NA,,>Terrestrial>Land surface>Vegetation>Normalised Difference Vegetation Index (NDVI),Normalised Difference Vegetation Index (NDVI),"Difference between maximum (in the near infra-red frequencies) and minimum (around the red frequencies) vegetation reflectance, normalised to the summation.",
NA,,>Atmosphere>Aerosol>Physical properties - primary>Number concentration,Number concentration,NA,
NA,,">Atmosphere>Aerosol>Physical properties - primary>Number size distribution, PM10","Number size distribution, PM10",NA,
NA,,">Atmosphere>Aerosol>Physical properties - primary>Number size distribution, total aerosol","Number size distribution, total aerosol",NA,
oceanO2ArRatio,,>Ocean>Other Gas>O2/Ar ratio,O2/Ar ratio,NA,
NA,,>Atmosphere>Humidity>Object wetness duration,Object wetness duration,NA,
NA,,>Atmosphere>Visibility>Obscurations>Obscuration type,Obscuration type,NA,
NA,,>Atmosphere>Visibility>Obscurations,Obscurations,NA,
NA,,>Atmosphere>Precipitation>Occurrence during last period (yes/no),Occurrence during last period (yes/no),NA,
NA,,>Ocean,Ocean,NA,
oceanCurrentDirection,,>Ocean>Currents>Ocean Current - Direction,Ocean Current - Direction,NA,
oceanCurrentSpeed,,>Ocean>Currents>Ocean Current - Speed,Ocean Current - Speed,Ocean motion measured at various depth levels.,
oceanDynamicTopography,,>Ocean>Topography>Ocean dynamic topography (ODT),Ocean dynamic topography (ODT),Deviation of sea level from the geoid caused by ocean currents (after corrections for tides and atmospheric pressure effects).,
oceanSalinity,,>Ocean>Basic Physical Properties>Ocean salinity,Ocean salinity,3D field of salinity of the ocean Requested in upper and deep ocean.,
oceanSubsurfaceDissolvedOxygenConcentration,,>Ocean>Other Gas>Ocean subsurface dissolved oxygen concentration,Ocean subsurface dissolved oxygen concentration,Concentration of dissolved oxygen.,
oceanSurfaceCurrent,,>Ocean>Currents>Ocean surface currents (vector),Ocean surface currents (vector),Water flow on ocean surface.,
oceanSuspendedSedimentConcentration,,>Ocean>Miscellaneous>Ocean suspended sediments concentration,Ocean suspended sediments concentration,"Variable extracted from ocean colour observation. Indicative of river outflow, re-suspension or pollution of other-than-biological origin.",
oceanTemperature,,>Ocean>Basic Physical Properties>Ocean temperature,Ocean temperature,3D field of temperature of the ocean Requested in upper and deep ocean.,
oceanOilSpillCover,,>Ocean>Miscellaneous>Oil spill cover,Oil spill cover,"Fraction of an ocean area polluted by hydrocarbons released from ships or off-shore platforms, accidentally or deliberately.",
