notation,path,name,description
173,\Atmosphere\Total atmospheric deposition\In situ\Potentiometry (pH meter),Potentiometry (pH meter),
174,\Atmosphere\Pressure\In situ\Pressure balance (piston),Pressure balance (piston),
175,\Atmosphere\Wind\In situ\Pressure plate (solid blade),Pressure plate (solid blade),
176,\Atmosphere\Wind\In situ\Pressure tube,Pressure tube,
177,\Atmosphere\Wind\In situ\Propeller anemometer,Propeller anemometer,
179,\Atmosphere\Temperature\In situ\Pyranometer (measurement of IR radiation),Pyranometer (measurement of IR radiation),
180,"\Atmosphere\Radiation\In situ\Pyrradiometer (total global, UV+IR)","Pyrradiometer (total global, UV+IR)",
181,"\Atmosphere\Humidity\Remote-sensing, active\Radio acoustic sounding system (RASS)",Radio acoustic sounding system (RASS),
182,"\Atmosphere\Temperature\Remote-sensing, active\Radio acoustic sounding system (RASS)",Radio acoustic sounding system (RASS),
183,"\Atmosphere\Precipitation\Remote-sensing, active\Radio detection and ranging (Radar)",Radio detection and ranging (Radar),
184,"\Atmosphere\Wind\Remote-sensing, active\Radio detection and ranging (Radar) profiler",Radio detection and ranging (Radar) profiler,
185,\Atmosphere\Radioactivity\In situ\Radiochemical Methods [general],Radiochemical Methods [general],
186,\Atmosphere\Ozone\In situ\Regener Sonde (chemiluminescence),Regener Sonde (chemiluminescence),
188,"\Atmosphere\Temperature\In situ\Resistance thermometer, thermistor","Resistance thermometer, thermistor",
189,"\Atmosphere\Ozone\Remote-sensing, passive\SAOZ (UV-vis diode array spectrometer)",SAOZ (UV-vis diode array spectrometer),
190,"\Atmosphere\Visual range\Remote-sensing, active\Scatterometer",Scatterometer,
191,\Atmosphere\Trace gas\In situ\Separation + manometric determination,Separation + manometric determination,
195,\Atmosphere\Temperature\In situ\Sonic thermometer,Sonic thermometer,
196,"\Atmosphere\Wind\Remote-sensing, active\Sound detection and ranging (Sodar) profiler",Sound detection and ranging (Sodar) profiler,
197,\Atmosphere\Radiation\In situ\Sunphotometry-Filter Radiometry,Sunphotometry-Filter Radiometry,
198,\Atmosphere\Radiation\In situ\Sunshine duration,Sunshine duration,
199,\Atmosphere\Micrometeorology\In situ\Surface chamber,Surface chamber,
201,"\Atmosphere\Temperature\In situ\Thermocouple, thermopile","Thermocouple, thermopile",
202,\Atmosphere\Temperature\In situ\Thermometer-Thermoelement,Thermometer-Thermoelement,
204,\Atmosphere\Precipitation\In situ\Tipping bucket rain gauge (totalizer),Tipping bucket rain gauge (totalizer),
205,\Atmosphere\Trace gas\In situ\Titration,Titration,
207,"\Atmosphere\Visual range\Remote-sensing, active\Transmissometer",Transmissometer,
208,\Atmosphere\Dynamics\Numerical model\Transport modeling (model unspecified),Transport modeling (model unspecified),
209,\Atmosphere\Total atmospheric deposition\In situ\Turbidity measurement,Turbidity measurement,
210,"\Atmosphere\Ozone\Remote-sensing, passive\Umkehr method",Umkehr method,
211,\Atmosphere\Precipitation\In situ\Volumetric measurement,Volumetric measurement,
212,\Atmosphere\Precipitation\In situ\Weighing type rain gauge (totalizer),Weighing type rain gauge (totalizer),
213,\Atmosphere\Total atmospheric deposition\In situ\Wet Chemical Methods [general],Wet Chemical Methods [general],
214,\Atmosphere\Wind\In situ\Wind sock (textile tube),Wind sock (textile tube),
215,\Atmosphere\Wind\In situ\Wind vane (solid blade),Wind vane (solid blade),
217,\Atmosphere\Aerosol\In situ\Composition\Aerodyne mass spectrometer (AMS),Aerodyne mass spectrometer (AMS),
218,\Atmosphere\Aerosol\In situ\Composition\EUSAAR protocol,EUSAAR protocol,
219,"\Atmosphere\Aerosol\In situ\Composition\Filter + beta attenuation (betameter, beta gauge)","Filter + beta attenuation (betameter, beta gauge)",
220,\Atmosphere\Aerosol\In situ\Optical properties\Filter + light attenuation (aethalometer),Filter + light attenuation (aethalometer),
221,\Atmosphere\Aerosol\In situ\Composition\Mass Spectrometry (MS) [general],Mass Spectrometry (MS) [general],
222,\Atmosphere\Aerosol\In situ\Composition\Monitor for AeRosols and GAses (MARGA),Monitor for AeRosols and GAses (MARGA),
223,\Atmosphere\Aerosol\In situ\Composition\Particle induced x-ray emission (PIXE),Particle induced x-ray emission (PIXE),
224,\Atmosphere\Aerosol\In situ\Optical properties\Particle soot absorption photometry (PSAP),Particle soot absorption photometry (PSAP),
225,\Atmosphere\Aerosol\In situ\Composition\Thermo-optical analyzer (Sunset Labs),Thermo-optical analyzer (Sunset Labs),
226,\Atmosphere\Aerosol\In situ\Composition\X-ray fluorescence (XRF),X-ray fluorescence (XRF),
227,\Atmosphere\Aerosol\In situ\Optical properties\Aerodynamic particle sizing spectrometer (APS),Aerodynamic particle sizing spectrometer (APS),
228,\Atmosphere\Aerosol\In situ\Optical properties\Aerosol backscatter sonde,Aerosol backscatter sonde,
229,\Atmosphere\Aerosol\In situ\Optical properties\Light scattering,Light scattering,
230,"\Atmosphere\Aerosol\In situ\Optical properties\Nephelometry, integrating","Nephelometry, integrating",
231,\Atmosphere\Aerosol\In situ\Physical properties\Cloud condensation nuclei (CCN) counter,Cloud condensation nuclei (CCN) counter,
232,\Atmosphere\Aerosol\In situ\Physical properties\Condensation particle counter (CPC),Condensation particle counter (CPC),
233,\Atmosphere\Aerosol\In situ\Physical properties\Continuous gravimetry,Continuous gravimetry,
234,"\Atmosphere\Aerosol\In situ\Physical properties\Differential mobility particle sizer (DMA, DMPS)","Differential mobility particle sizer (DMA, DMPS)",
235,\Atmosphere\Aerosol\In situ\Physical properties\Diffusion battery,Diffusion battery,
236,\Atmosphere\Aerosol\In situ\Physical properties\Electric mobility [general],Electric mobility [general],
237,\Atmosphere\Aerosol\In situ\Physical properties\Electrostatic classifier,Electrostatic classifier,
238,\Atmosphere\Aerosol\In situ\Physical properties\Multiangle absorption photometry (MAAP),Multiangle absorption photometry (MAAP),
239,\Atmosphere\Aerosol\In situ\Physical properties\Multistage impactor,Multistage impactor,
240,\Atmosphere\Aerosol\In situ\Physical properties\Optical particle counter (OPC),Optical particle counter (OPC),
241,\Atmosphere\Aerosol\In situ\Physical properties\Scanning mobility particle sizer (SMPS),Scanning mobility particle sizer (SMPS),
242,\Atmosphere\Aerosol\In situ\Physical properties\Twomey static thermal diffusion chamber,Twomey static thermal diffusion chamber,
243,"\Atmosphere\Aerosol\Remote-sensing, active\Optical properties\Light detection and ranging (Lidar) profiler",Light detection and ranging (Lidar) profiler,
244,"\Atmosphere\Aerosol\Remote-sensing, passive\Optical properties\Sun-tracking photometry",Sun-tracking photometry,
245,"\Atmosphere\Clouds\Remote-sensing, active\Laser-based methods\Ceilometer",Ceilometer,
246,\Atmosphere\Dynamics\Numerical model\Dispersion\Flexpart (dispersion modeling),Flexpart (dispersion modeling),
247,\Atmosphere\Dynamics\Numerical model\Trajectories\Flextra (trajectory modeling),Flextra (trajectory modeling),
248,\Atmosphere\Dynamics\Numerical model\Trajectories\Hysplit (trajectory modeling),Hysplit (trajectory modeling),
249,\Atmosphere\Dynamics\Numerical model\Trajectories\Lagranto (trajectory modeling),Lagranto (trajectory modeling),
250,\Atmosphere\Humidity\In situ\Capacitive method\Thin film capacitance,Thin film capacitance,
251,\Atmosphere\Humidity\In situ\Dewpoint determination\Chilled mirror,Chilled mirror,
252,\Atmosphere\Humidity\In situ\Dewpoint determination\Lithium chloride (LiCl),Lithium chloride (LiCl),
253,\Atmosphere\Humidity\In situ\Hygrometer\Hair hygrometer-hygrograph,Hair hygrometer-hygrograph,
254,\Atmosphere\Humidity\In situ\Hygrometer\Hygrometer [general],Hygrometer [general],
255,\Atmosphere\Humidity\In situ\Hygrometer\IR absorption hygrometer,IR absorption hygrometer,
256,\Atmosphere\Humidity\In situ\Hygrometer\Optical hygrometer,Optical hygrometer,
257,\Atmosphere\Humidity\In situ\Hygrometer\UV fluorescence-based hygrometer (Lyman-α),UV fluorescence-based hygrometer (Lyman-α),
258,\Atmosphere\Humidity\In situ\Psychrometer\Electrical aspiration (Frankenberger type),Electrical aspiration (Frankenberger type),
259,\Atmosphere\Humidity\In situ\Psychrometer\Mechanical aspiration,Mechanical aspiration,
263,\Atmosphere\Radiation\In situ\Direct solar\Bimetallic actinograph,Bimetallic actinograph,
264,"\Atmosphere\Radiation\In situ\Direct solar\Pyrheliometer (direct solar, broadband)","Pyrheliometer (direct solar, broadband)",
265,"\Atmosphere\Radiation\In situ\Longwave\Pyrgeometer (global, infrared)","Pyrgeometer (global, infrared)",
266,"\Atmosphere\Radiation\In situ\Shortwave\Pyranometer (global solar, broadband)","Pyranometer (global solar, broadband)",
267,\Atmosphere\Radiation\In situ\Shortwave\Spectral pyranometer,Spectral pyranometer,
268,\Atmosphere\Radiation\In situ\Shortwave\UV-vis spectrometry-radiometry,UV-vis spectrometry-radiometry,
269,"\Atmosphere\Temperature\Remote-sensing, active\Light detection and ranging (Lidar) profiler",Light detection and ranging (Lidar) profiler,
270,\Atmosphere\Total atmospheric deposition\In situ\Chemiluminescence\Tetrachloromercurate (TCM) absorption - CL,Tetrachloromercurate (TCM) absorption - CL,
271,\Atmosphere\Total atmospheric deposition\In situ\Colorimetry\Colorimetry (ANSA),Colorimetry (ANSA),
272,\Atmosphere\Total atmospheric deposition\In situ\Colorimetry\Colorimetry (Griess),Colorimetry (Griess),
273,"\Atmosphere\Total atmospheric deposition\In situ\Colorimetry\Colorimetry (indophenol, Bertholet)","Colorimetry (indophenol, Bertholet)",
274,\Atmosphere\Total atmospheric deposition\In situ\Colorimetry\Colorimetry (mercury thiocyanate+iron alum),Colorimetry (mercury thiocyanate+iron alum),
275,\Atmosphere\Total atmospheric deposition\In situ\Colorimetry\Colorimetry (NEDA),Colorimetry (NEDA),
276,"\Atmosphere\Total atmospheric deposition\In situ\Colorimetry\Colorimetry (Nessler, K2HgI4)","Colorimetry (Nessler, K2HgI4)",
277,\Atmosphere\Total atmospheric deposition\In situ\Colorimetry\Colorimetry (sodium salicylate method for nitrate),Colorimetry (sodium salicylate method for nitrate),
278,\Atmosphere\Total atmospheric deposition\In situ\Colorimetry\Colorimetry [general],Colorimetry [general],
279,\Atmosphere\Total atmospheric deposition\In situ\Filter-based methods\Filter sampling (analytical method unspecified),Filter sampling (analytical method unspecified),
280,\Atmosphere\Total atmospheric deposition\In situ\Filter-based methods\Adsorption tube (charcoal) + elution + GC,Adsorption tube (charcoal) + elution + GC,
281,\Atmosphere\Total atmospheric deposition\In situ\Filter-based methods\Filter sampling + combustion + IC,Filter sampling + combustion + IC,
282,\Atmosphere\Total atmospheric deposition\In situ\Filter-based methods\Filter sampling + combustion + other,Filter sampling + combustion + other,
283,\Atmosphere\Total atmospheric deposition\In situ\Filter-based methods\Filter sampling + extraction + IC,Filter sampling + extraction + IC,
284,\Atmosphere\Total atmospheric deposition\In situ\Filter-based methods\Filter sampling + extraction + other,Filter sampling + extraction + other,
285,\Atmosphere\Total atmospheric deposition\In situ\Filter-based methods\Filter sampling + gravimetry,Filter sampling + gravimetry,
286,\Atmosphere\Total atmospheric deposition\In situ\Filter-based methods\Impregnated filter,Impregnated filter,
287,\Atmosphere\Trace gas\In situ\Chemiluminescence\Catalytic conversion 'Au' - CL,Catalytic conversion 'Au' - CL,
288,\Atmosphere\Trace gas\In situ\Chemiluminescence\Catalytic conversion 'Fe' - CL,Catalytic conversion 'Fe' - CL,
289,\Atmosphere\Trace gas\In situ\Chemiluminescence\Catalytic conversion 'Mb' - CL,Catalytic conversion 'Mb' - CL,
290,\Atmosphere\Trace gas\In situ\Chemiluminescence\Chemiluminescence (CL) [general],Chemiluminescence (CL) [general],
291,\Atmosphere\Trace gas\In situ\Chemiluminescence\Photolytic conversion - CL,Photolytic conversion - CL,
292,\Atmosphere\Trace gas\In situ\Ion Chromatography (IC)\Monitor for AeRosols and GAses (MARGA) Metrohm,Monitor for AeRosols and GAses (MARGA) Metrohm,
293,\Atmosphere\Trace gas\In situ\Filter-based methods\Filter sampling + photo multiplier tube (PMT),Filter sampling + photo multiplier tube (PMT),
294,\Atmosphere\Trace gas\In situ\Fluorescence\Fluorescence [general],Fluorescence [general],
295,\Atmosphere\Trace gas\In situ\Fluorescence\UV fluorescence,UV fluorescence,
296,\Atmosphere\Trace gas\In situ\Fluorescence\Vacuum UV fluorescence,Vacuum UV fluorescence,
297,\Atmosphere\Trace gas\In situ\Gas chromatography\Gas Chromatography (GC) [general],Gas Chromatography (GC) [general],
298,\Atmosphere\Trace gas\In situ\Gas chromatography\GC-ECD,GC-ECD,
299,\Atmosphere\Trace gas\In situ\Gas chromatography\GC-ECD-FID,GC-ECD-FID,
300,\Atmosphere\Trace gas\In situ\Gas chromatography\GC-ECD-MS,GC-ECD-MS,
301,\Atmosphere\Trace gas\In situ\Gas chromatography\GC-FID,GC-FID,
302,\Atmosphere\Trace gas\In situ\Gas chromatography\GC-HgO reduction-UV absorption,GC-HgO reduction-UV absorption,
303,\Atmosphere\Trace gas\In situ\Gas chromatography\GC-MS,GC-MS,
304,\Atmosphere\Trace gas\In situ\Ion Chromatography (IC)\H2O2 conversion - IC,H2O2 conversion - IC,
305,\Atmosphere\Trace gas\In situ\Laser-based methods\Cavity ring-down spectroscopy (CRDS),Cavity ring-down spectroscopy (CRDS),
306,\Atmosphere\Trace gas\In situ\Laser-based methods\Cavity-enhanced absorption spectroscopy (CEAS),Cavity-enhanced absorption spectroscopy (CEAS),
307,\Atmosphere\Trace gas\In situ\Laser-based methods\Integrated cavity output spectroscopy (ICOS),Integrated cavity output spectroscopy (ICOS),
308,\Atmosphere\Trace gas\In situ\Laser-based methods\Laser induced fluorescence (LIF),Laser induced fluorescence (LIF),
309,\Atmosphere\Trace gas\In situ\Laser-based methods\Laser photoacoustic spectroscopy (LPAS),Laser photoacoustic spectroscopy (LPAS),
310,\Atmosphere\Trace gas\In situ\Laser-based methods\Laser spectroscopy [general],Laser spectroscopy [general],
311,\Atmosphere\Trace gas\In situ\Laser-based methods\Quantum cascade laser (QCL) spectroscopy,Quantum cascade laser (QCL) spectroscopy,
312,\Atmosphere\Trace gas\In situ\Mass spectrometry\Chemical ionization MS (CIMS) with matrix isolation,Chemical ionization MS (CIMS) with matrix isolation,
313,\Atmosphere\Trace gas\In situ\Mass spectrometry\Proton transfer reaction mass spectrometry (PTR-MS),Proton transfer reaction mass spectrometry (PTR-MS),
314,\Atmosphere\Trace gas\In situ\Optical spectrometry\IR spectrometry-radiometry [general],IR spectrometry-radiometry [general],
315,\Atmosphere\Trace gas\In situ\Optical spectrometry\Light absorption photometry,Light absorption photometry,
316,\Atmosphere\Trace gas\In situ\Optical spectrometry\Long path absorption photometry (LOPAP),Long path absorption photometry (LOPAP),
317,\Atmosphere\Trace gas\In situ\Optical spectrometry\Non-dispersive IR (NDIR) absorption,Non-dispersive IR (NDIR) absorption,
318,\Atmosphere\Trace gas\In situ\Optical spectrometry\Non-dispersive UV (NDUV),Non-dispersive UV (NDUV),
319,\Atmosphere\Trace gas\In situ\Optical spectrometry\UV absorption spectrometry-radiometry,UV absorption spectrometry-radiometry,
320,"\Atmosphere\Trace gas\Remote-sensing, active\Laser-based methods\Differential absorption Lidar (DIAL)",Differential absorption Lidar (DIAL),
321,"\Atmosphere\Trace gas\Remote-sensing, active\Optical spectrometry\Differential optical absorption (DOAS)",Differential optical absorption (DOAS),
322,"\Atmosphere\Trace gas\Remote-sensing, passive\Optical spectrometry\Fourier-transform IR spectroscopy (FTIR)",Fourier-transform IR spectroscopy (FTIR),
323,"\Atmosphere\Trace gas\Remote-sensing, passive\Optical spectrometry\TCCON Fourier-transform IR spectroscopy (TCCON-FTIR)",TCCON Fourier-transform IR spectroscopy (TCCON-FTIR),
324,"\Atmosphere\Visual range\Remote-sensing, active\Laser-based methods\Light detection and ranging (Lidar)",Light detection and ranging (Lidar),
327,\Atmosphere\Radiosonde with NAVAID,Radiosonde with NAVAID,
328,\Atmosphere\Radiosonde with radar tracking,Radiosonde with radar tracking,
329,\Atmosphere\Radiosonde with radiotheodolite tracking,Radiosonde with radiotheodolite tracking,
330,\Atmosphere\Radiosonde with composite method tracking,Radiosonde with composite method tracking,
331,\Atmosphere\Wind\Radiosonde (tracking unspecified),Radiosonde (tracking unspecified),
332,\Atmosphere\Wind\Pilot balloon with optical tracking),Pilot balloon with optical tracking),
335,"\Atmosphere\Ozone\Remote-sensing, active\Laser-based methods\Differential absorption Lidar (DIAL)",Differential absorption Lidar (DIAL),
336,"\Atmosphere\Trace gas\Remote-sensing, passive\Microwave radiometry",Microwave radiometry,
338,\Atmosphere\Humidity\In situ\Laser-based\Tunable diode lase spectroscopy (TDLS),Tunable diode lase spectroscopy (TDLS),Tunable diode lase spectroscopy (TDLS)
339,"\Atmosphere\Ozone\Remote-sensing, passive\UV spectroradiometry",UV spectroradiometry,
340,\Atmosphere\Humidity\In situ\Psychrometer\Wet-bulb thermometer,Wet-bulb thermometer,"A thermometer having a bulb that is kept moistened when humidity determinations are being made with a psychrometer. The wet-bulb temperature is the temperature a parcel of air would have if it were cooled to saturation (100% relative humidity) by the evaporation of water into it, with the latent heat being supplied by the parcel."
unknown,,unknown,The measurement/observing method is unknown.
