#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r,
15,speci,,,FM 16 - SPECI,Aerodrome special meteorological report (with or without trend forecast). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 16 - SPECI,"Message d’observation météorologique spéciale d’aérodrome (avec ou sans prévision de tendance). Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 16 - SPECI,Informe de observación meteorológica especial para aeródromos (con pronóstico de tendencia o sin él). Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 16 - SPECI,"Специальная метеорологическая сводка по аэродрому (содержащая или не содержащая прогноз тренда). Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
16,buoy,,,FM 18 - BUOY,Report of a buoy observation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 18 - BUOY,"Message d’observation provenant d’une bouée. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 18 - BUOY,Informe de observación proveniente de una boya. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 18 - BUOY,"Сводка наблюдений с буя. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
17,radob,,,FM 20 - RADOB,Report of ground radar weather observation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 20 - RADOB,"Message d’observation météorologique effectuée par radar au sol. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 20 - RADOB,Informe de observación meteorológica efectuada por radar terrestre. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 20 - RADOB,"Сводка данных наземного метеорологического радиолокационного наблюдения. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
18,radrep,,,FM 22 - RADREP,Radiological data report (monitored on a routine basis and/or in case of accident). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 22 - RADREP,"Message de données radiologiques (relevées de manière régulière et/ou en cas d’accident). Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 22 - RADREP,Informe de datos radiológicos (controlados con regularidad y/o en caso de accidente). Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 22 - RADREP,"Сводка радиологических данных (данные регулярного мониторинга и/или в случае аварии). Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
19,pilot,,,FM 32 - PILOT,Upper-wind report from a fixed land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 32 - PILOT,"Message d’observation de vent en altitude provenant d’une station terrestre fixe. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 32 - PILOT,Informe de observación de viento en altitud proveniente de una estación terrestre fija. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 32 - PILOT,"Сводка данных о ветре на высотах с фиксированной наземной станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
20,pilotShip,,,FM33 - PILOT SHIP,Upper-wind report from a sea station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM33 - PILOT SHIP,"Message d’observation de vent en altitude provenant d’une station en mer. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM33 - PILOT SHIP,Informe de observación de viento en altitud proveniente de una estación marítima. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM33 - PILOT SHIP,"Сводка данных о ветре на высотах с морской станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
21,pilotMobil,,,FM 34 - PILOT MOBIL,Upper wind report from a mobile land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 34 - PILOT MOBIL,"Message d’observation de vent en altitude provenant d’une station terrestre mobile. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 34 - PILOT MOBIL,Informe de observación de viento en altitud proveniente de una estación terrestre móvil. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 34 - PILOT MOBIL,"Сводка данных о петре на высотах с подвижной наземной станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
22,temp,,,FM 35 - TEMP,"Upper-level pressure, temperature, humidity and wind report from a fixed land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1",,FM 35 - TEMP,"Message d'observation en altitude de pression, température, humidité et vent provenant d'une station terrestre fixe. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 35 - TEMP,"Informe de observación en altitud de la presión, la temperatura, la humedad y el viento, proveniente de una estación terrestre fija. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1",,FM 35 - TEMP,"Сводка данных о давлении, температуре, влажности и ветре на высотах с фиксированной наземной станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
23,tempShip,,,FM 36 - TEMP SHIP,"Upper-level pressure, temperature, humidity and wind report from a sea station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1",,FM 36 - TEMP SHIP,"Message d'observation en altitude de pression, température, humidité et vent provenant d'une station en mer. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 36 - TEMP SHIP,"Informe de observación en altitud de la presión, la temperatura, la humedad y el viento, proveniente de una estación marítima. Manual de claves Volumen I.1.http://wis.wmo.int/ManCodes1",,FM 36 - TEMP SHIP,"Сводка данных о давлении, температуре, влажности и ветре на высотах с морской станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
24,tempDrop,,,FM 37 - TEMP DROP,"Upper-level pressure, temperature, humidity and wind report from a sonde released by carrier balloons or aircraft. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1",,FM 37 - TEMP DROP,"Message d'observation en altitude de pression, température, humidité et vent provenant d'une sonde larguée d'un ballon porteur ou d'un aéronef. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 37 - TEMP DROP,"Informe de observación en altitud de la presión, la temperatura, la humedad y el viento, proveniente de una sonda lanzada desde un globo portador o desde una aeronave. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1",,FM 37 - TEMP DROP,"Сводка данных о давлении, температуре, влажности и ветре на высотах с зонда, сбрасываемого с аэростата-носителя или с самолета. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
25,tempMobil,,,FM 38 - TEMP MOBIL,"Upper-level pressure, temperature, humidity and wind report from a mobile land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1",,FM 38 - TEMP MOBIL,"Message d'observation en altitude de pression, température, humidité et vent provenant d'une station terrestre mobile. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 38 - TEMP MOBIL,"Informe de observación en altitud de la presión, la temperatura, la humedad y el viento, proveniente de una estación terrestre móvil. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1",,FM 38 - TEMP MOBIL,"Сводка данных о давлении, температуре, влажности и ветре на высотах с подвижной наземной станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
26,rocob,,,FM 39 - ROCOB,"Upper-level temperature, wind and air density report from a land rocketsonde station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1",,FM 39 - ROCOB,"Message d'observation en altitude de température, vent et densité de l'air provenant d'une station terrestre de sondage par fusée. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 39 - ROCOB,"Informe de observación en altitud de temperatura, viento y densidad del aire, proveniente de una estación terrestre de cohete sonda. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1",,FM 39 - ROCOB,"Сводка данных о температуре, ветре и плотности воздуха на высотах с наземной станции ракетного зондирования. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
27,rocobShip,,,FM 40 - ROCOB SHIP,"Upper-level temperature, wind and air density report from a rocketsonde station on a ship. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1",,FM 40 - ROCOB SHIP,"Message d'observation en altitude de température, vent et densité de l'air provenant d'une station de sondage par fusée à bord d'un navire. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 40 - ROCOB SHIP,"Informe de observación en altitud de temperatura, viento y densidad del aire, proveniente de una estación de cohete sonda instalada en un buque. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1",,FM 40 - ROCOB SHIP,"Сводка данных о температуре, ветре и плотности воздуха на высотах с судовой станции ракетного зондирования. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
28,codar,,,FM 41 - CODAR,Upper-air report from an aircraft (other than weather reconnaissance aircraft). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 41 - CODAR,"Message d'observation en altitude provenant d'un aéronef (autre qu'un aéronef de reconnaissance météorologique). Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 41 - CODAR,Informe de observación en altitud  proveniente de una aeronave (que no sea de reconocimiento meteorológico). Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 41 - CODAR,"Сводка аэрологических данных с самолета (исключая самолеты разведки погоды). Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
29,amdar,,,FM 42 - AMDAR,Aircraft report (aircraft meteorological data relay). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 42 - AMDAR,"Compte-rendu d’aéronef (système de retransmission des données météorologiques d’aéronefs). Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 42 - AMDAR,Informe de aeronave (retransmisión de datos meteorológicos provenientes de una aeronave). Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 42 - AMDAR,"Метеорологическая сводка с самолета (ретрансляция самолетных метеорологических данных). Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
30,icean,,,FM 44 - ICEAN,Ice analysis. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 44 - ICEAN,"Analyse des glaces. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 44 - ICEAN,Análisis de hielos. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 44 - ICEAN,"Анализ ледовых условий. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
31,IAC,,,FM 45 - IAC,Analysis in full form. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 45 - IAC,"Analyse en forme complète. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 45 - IAC,Análisis en forma completa. Manual de claves Volumen I.1.http://wis.wmo.int/ManCodes1,,FM 45 - IAC,"Анализ, полная форма. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
32,iacFleet,,,FM 46 - IAC FLEET,Analysis in abbreviated form. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 46 - IAC FLEET,"Analyse en forme abrégée. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 46 - IAC FLEET,Análisis en forma abreviada. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 46 - IAC FLEET,"Анаолиз, сокращенная форма. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
33,grid,,,FM 47 - GRID,Processed data in the form of grid-point values. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 47 - GRID,"Données traitées sous forme de valeurs aux points de grille. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 47 - GRID,Datos procesados como valores reticulares. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 47 - GRID,"Обработанные данные в виде значений в точках сетки. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
34,graf,,,FM 49 - GRAF,Processed data in the form of grid-point vlues (abbreviated code form). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 49 - GRAF,"Données traitées sous forme de valeurs aux points de grille (forme symbolique abrégée). Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 49 - GRAF,Datos procesados como valores reticulares (clave abreviada). Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 49 - GRAF,"Обработанные данные в виде значений в точках сетки (сокращенная кодовая форма). Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
35,wintem,,,FM 50 - WINTEM,Forecast upper wind and temperature for aviation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 50 - WINTEM,"Prévision du vent et de la température en altitude pour l'aviation. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 50 - WINTEM,Pronóstico del viento y de la temperatura en altitud para la aviación. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 50 - WINTEM,"Прогноз ветра и температуры на высотах для авиации. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
36,taf,,,FM 51 - TAF,Aerodrome forecast. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 51 - TAF,"Prévision d’aérodrome. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 51 - TAF,Pronóstico de aeródromo. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 51 - TAF,"Прогноз погоды по аэродрому. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
37,arfor,,,FM 53 - ARFOR,Area forecast for aviation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 53 - ARFOR,"Prévision de zone pour l’aviation. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 53 - ARFOR,Pronóstico de área para la aviación. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 53 - ARFOR,"Зональный прогноз погоды по аэродрому. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
38,rofor,,,FM 54 - ROFOR,Route forecast for aviation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 54 - ROFOR,"Prévision de route pour l’aviation. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 54 - ROFOR,Pronóstico de ruta para la aviación. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 54 - ROFOR,"Прогноз погоды по маршруту для авиации. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
39,radof,,,FM 57 - RADOF,Radiological trajectory dose forecast (defined time of arrival and location). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 57 - RADOF,"Prévision radiologique de trajectoire et de dose (position définie et heure d’arrivée prévue). Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 57 - RADOF,Predicción de la trayectoria de dosis radiológicas (hora de llegada y ubicación definidas). Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 57 - RADOF,"Прогноз траектории радиологических доз (определенное местоположение и время наступления). Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
40,mafor,,,FM 61 - MAFOR,Forecast for shipping. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 61 - MAFOR,"Prévision pour la navigation maritime. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 61 - MAFOR,Pronóstico para la navegación marítima. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 61 - MAFOR,"Прогноз для судоходства. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
41,trackob,,,FM 62 - TRACKOB,Report of marine surface observation along a ship's track. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 62 - TRACKOB,"Message d’observation de la mer en surface le long de la route d’un navire. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 62 - TRACKOB,Informe sobre observaciones marinas de superficie a lo largo de una ruta marítima. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 62 - TRACKOB,"Сводка наблюдений за поверхностью моря по маршруту следования судна. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
42,bathy,,,FM 63 - BATHY,Report of bathythermal observation. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 63 - BATHY,"Message d’observation bathythermique. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 63 - BATHY,Informe de observación batitérmica. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 63 - BATHY,"Сводка данных батитермического наблюдения. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
43,tesac,,,FM 64 - TESAC,"Temperature, salinity and current report from a sea station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1",,FM 64 - TESAC,"Message d’observation de température, salinité et courant provenant d’une station en mer. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 64 - TESAC,"Informe de observación de temperatura, salinidad y corriente proveniente de una estación marítima. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1",,FM 64 - TESAC,"Сводка данных с морской станции о температуре, солености и течении. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
44,waveob,,,FM 65 - WAVEOB,Report of spectral wave information from a sea station or from a remote platform (aircraft or satellite). Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 65 - WAVEOB,"Message d’observation du spectre des vagues en provenance d’une station en mer ou d’une plate-forme éloignée (aéronef ou satellite). Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 65 - WAVEOB,Informe del espectro de las olas proveniente de una estación marítima o de una plataforma alejada (aeronave o satélite). Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 65 - WAVEOB,"Сводка данных о спектре волн с морской станции или с удаленной платформы (самолет или спутник). Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
45,hydra,,,FM  67 - HYDRA,Report of hydrological observation from a hydrological station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM  67 - HYDRA,"Message d’observation hydrologique provenant d’une station d’observation hydrologique. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM  67 - HYDRA,Informe de observación hidrológica proveniente de una estación de observación hidrológica. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 67 - HYDRA,"Сводка данных о гидрологическом наблюдений с гидрологической станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
46,hyfor,,,FM 68 - HYFOR,Hydrological forecast. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 68 - HYFOR,"Prévision hydrologique. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 68 - HYFOR,Pronóstico hidrológico. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 68 - HYFOR,"Гидрологический прогноз. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
47,climat,,,FM 71 - CLIMAT,Report of monthly values from a land station.  Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 71 - CLIMAT,"Message de valeurs mensuelles provenant d’une station terrestre.  Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 71 - CLIMAT,Informe de valores mensuales proveniente de una estación terrestre.  Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 71 - CLIMAT,"Сводка месячных значений с наземной станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
48,climatShip,,,FM 72 - CLIMAT SHIP,Report of monthly means and totals from an ocean weather station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 72 - CLIMAT SHIP,"Message de moyennes et de totaux mensuels provenant d’une station météorologique océanique. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 72 - CLIMAT SHIP,Informe de medias y totales mensuales proveniente de una estación meteorológica oceánica. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 72 - CLIMAT SHIP,"Сводка среднемесячных и суммарных данных с океанической метеорологической станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
49,nacli,,,"FM 73 - NACLI, CLINP, SPCLI, CLISA, INCLI",Report of monthly means for an oceanic area. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,"FM 73 - NACLI, CLINP, SPCLI, CLISA, INCLI","Message de moyennes mensuelles pour une région océanique. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,"FM 73 - NACLI, CLINP, SPCLI, CLISA, INCLI",Informe de medias mensuales para un área oceánica. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,"FM 73 - NACLI, CLINP, SPCLI, CLISA, INCLI","Сводка среднемесячных данных для океанического района. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
50,climatTemp,,,FM 75 - CLIMAT TEMP,Report of monthly aerological means form  a land station. Manual on Codes Volume I.1. http://wis.wmo.int/ManCodes1,,FM 75 - CLIMAT TEMP,"Message de moyennes aérologiques mensuelles provenant d’une station terrestre. Manuel des codes, volume I.1. http://wis.wmo.int/ManCodes1",,FM 75 - CLIMAT TEMP,Informe de medias aerológicas mensuales proveniente de una estación terrestre. Manual de claves Volumen I.1. http://wis.wmo.int/ManCodes1,,FM 75 - CLIMAT TEMP,"Сводка среднемесячных аэрологических данных с наземной станции. Наставление по кодам, том I.1. http://wis.wmo.int/ManCodes1",
