#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
123,MLT,,,Malta,Malta,,Malte,Malte,,Malta,Malta,,Мальта,Мальта
124,MHL,,,Marshall Islands,Marshall Islands,,Îles Marshall,Îles Marshall,,Islas Marshall,Islas Marshall,,Маршалловы Острова,Маршалловы Острова
125,MRT,,,Mauritania,Mauritania,,Mauritanie,Mauritanie,,Mauritania,Mauritania,,Мавритания,Мавритания
126,MUS,,,Mauritius,Mauritius,,Maurice,Maurice,,Mauricio,Mauricio,,Маврикий,Маврикий
127,MEX,,,Mexico,Mexico,,Mexique,Mexique,,México,México,,Мексика,Мексика
128,FSM,,,"Micronesia, Federated States of","Micronesia, Federated States of",,"Micronésie, États fédérés de","Micronésie, États fédérés de",,"Micronesia, Estados Federados de","Micronesia, Estados Federados de",,Федеративные Штаты Микронезии,Федеративные Штаты Микронезии
129,MDA,,,"Moldova, Republic of","Moldova, Republic of",,"Moldova, République de","Moldova, République de",,"Moldova, República de","Moldova, República de",,Республика Молдова,Республика Молдова
130,MCO,,,Monaco,Monaco,,Monaco,Monaco,,Mónaco,Mónaco,,Монако,Монако
131,MNG,,,Mongolia,Mongolia,,Mongolie,Mongolie,,Mongolia,Mongolia,,Монголия,Монголия
132,MNE,,,Montenegro,Montenegro,,Monténégro,Monténégro,,Montenegro,Montenegro,,Черногория,Черногория
133,MSR,,,Montserrat,Montserrat,,Montserrat,Montserrat,,Montserrat,Montserrat,,Монтсеррат,Монтсеррат
134,MAR,,,Morocco,Morocco,,Maroc,Maroc,,Marruecos,Marruecos,,Марокко,Марокко
135,MOZ,,,Mozambique,Mozambique,,Mozambique,Mozambique,,Mozambique,Mozambique,,Мозамбик,Мозамбик
136,MMR,,,Myanmar,Myanmar,,Myanmar,Myanmar,,Myanmar,Myanmar,,Мьянма,Мьянма
137,NAM,,,Namibia,Namibia,,Namibie,Namibie,,Namibia,Namibia,,Намибия,Намибия
138,NRU,,,Nauru,Nauru,,Nauru,Nauru,,Nauru,Nauru,,Науру,Науру
139,NPL,,,Nepal,Nepal,,Népal,Népal,,Nepal,Nepal,,Непал,Непал
140,NLD,,,Netherlands,Netherlands,,Pays-Bas,Pays-Bas,,Países Bajos,Países Bajos,,Нидерланды,Нидерланды
141,NCL,,,New Caledonia,New Caledonia,,Nouvelle-Calédonie,Nouvelle-Calédonie,,Nueva Caledonia,Nueva Caledonia,,Новая Каледония,Новая Каледония
142,NZL,,,New Zealand,New Zealand,,Nouvelle-Zélande,Nouvelle-Zélande,,Nueva Zelandia,Nueva Zelandia,,Новая Зеландия,Новая Зеландия
143,NIC,,,Nicaragua,Nicaragua,,Nicaragua,Nicaragua,,Nicaragua,Nicaragua,,Никарагуа,Никарагуа
144,NER,,,Niger,Niger,,Niger,Niger,,Níger,Níger,,Нигер,Нигер
145,NGA,,,Nigeria,Nigeria,,Nigéria,Nigéria,,Nigeria,Nigeria,,Нигерия,Нигерия
146,NIU,,,Niue,Niue,,Nioué,Nioué,,Niue,Niue,,Ниуэ,Ниуэ
147,NOR,,,Norway,Norway,,Norvège,Norvège,,Noruega,Noruega,,Норвегия,Норвегия
148,OMN,,,Oman,Oman,,Oman,Oman,,Omán,Omán,,Оман,Оман
149,PAK,,,Pakistan,Pakistan,,Pakistan,Pakistan,,Pakistán,Pakistán,,Пакистан,Пакистан
150,PLW,,,Palau,Palau,,Palaos,Palaos,,Palau,Palau,,Палау,Палау
151,PSE,,,"Palestine, State of","Palestine, State of",,"Palestine, État de ","Palestine, État de ",,"Palestina, Estado de","Palestina, Estado de",,Государство Палестина,Государство Палестина
152,PAN,,,Panama,Panama,,Panama,Panama,,Panamá,Panamá,,Панама,Панама
153,PNG,,,Papua New Guinea,Papua New Guinea,,Papouasie-Nouvelle-Guinée,Papouasie-Nouvelle-Guinée,,Papua Nueva Guinea,Papua Nueva Guinea,,Папуа-Новая Гвинея,Папуа-Новая Гвинея
154,PRY,,,Paraguay,Paraguay,,Paraguay,Paraguay,,Paraguay,Paraguay,,Парагвай,Парагвай
155,PER,,,Peru,Peru,,Pérou,Pérou,,Perú,Perú,,Перу,Перу
156,PHL,,,Philippines,Philippines,,Philippines,Philippines,,Filipinas,Filipinas,,Филиппины,Филиппины
157,PCN,,,Pitcairn,Pitcairn,,Pitcairn,Pitcairn,,Pitcairn,Pitcairn,,Питкэрн,Питкэрн
158,POL,,,Poland,Poland,,Pologne,Pologne,,Polonia,Polonia,,Польша,Польша
159,PRT,,,Portugal,Portugal,,Portugal,Portugal,,Portugal,Portugal,,Португалия,Португалия
160,PRI,,,Puerto Rico,Puerto Rico,,Porto Rico,Porto Rico,,Puerto Rico,Puerto Rico,,Пуэрто-Рико,Пуэрто-Рико
161,QAT,,,Qatar,Qatar,,Qatar,Qatar,,Qatar,Qatar,,Катар,Катар
162,ROM,,,Romania,Romania,,Roumanie,Roumanie,,Rumania,Rumania,,Румыния,Румыния
163,RUS,,,Russian Federation,Russian Federation,,Fédération de Russie,Fédération de Russie,,Federación de Rusia,Federación de Rusia,,Российская Федерация,Российская Федерация
164,RWA,,,Rwanda,Rwanda,,Rwanda,Rwanda,,Rwanda,Rwanda,,Руанда,Руанда
165,SHN,,,Saint Helena,Saint Helena,,Sainte-Hélène,Sainte-Hélène,,Santa Elena,Santa Elena,,Остров Святой Елены,Остров Святой Елены
166,KNA,,,Saint Kitts and Nevis,Saint Kitts and Nevis,,Saint-Kitts-et-Nevis,Saint-Kitts-et-Nevis,,Saint Kitts y Nevis,Saint Kitts y Nevis,,Сент-Китс и Невис,Сент-Китс и Невис
167,LCA,,,Saint Lucia,Saint Lucia,,Sainte-Lucie,Sainte-Lucie,,Santa Lucía,Santa Lucía,,Сент-Люсия,Сент-Люсия
168,SPM,,,Saint Pierre and Miquelon,Saint Pierre and Miquelon,,Saint-Pierre-et-Miquelon,Saint-Pierre-et-Miquelon,,San Pedro y Miquelón,San Pedro y Miquelón,,Сант-Пьер и Микелон,Сант-Пьер и Микелон
169,VCT,,,Saint Vincent and Grenadines,Saint Vincent and Grenadines,,Saint-Vincent-et-les-Grenadines,Saint-Vincent-et-les-Grenadines,,San Vicente y las Granadinas,San Vicente y las Granadinas,,Сент-Винсент и Гренадины,Сент-Винсент и Гренадины
170,WSM,,,Samoa,Samoa,,Samoa,Samoa,,Samoa,Samoa,,Самоа,Самоа
171,STP,,,Sao Tome and Principe,Sao Tome and Principe,,Sao Tomé-et-Principe,Sao Tomé-et-Principe,,Santo Tomé y Príncipe,Santo Tomé y Príncipe,,Cан-Томе и Принсипи,Cан-Томе и Принсипи
172,SAU,,,Saudi Arabia,Saudi Arabia,,Arabie saoudite,Arabie saoudite,,Arabia Saudita,Arabia Saudita,,Саудовская Аравия,Саудовская Аравия
173,SEN,,,Senegal,Senegal,,Sénégal,Sénégal,,Senegal,Senegal,,Сенегал,Сенегал
174,SRB,,,Serbia,Serbia,,Serbie,Serbie,,Serbia,Serbia,,Сербия,Сербия
175,SYC,,,Seychelles,Seychelles,,Seychelles,Seychelles,,Seychelles,Seychelles,,Сейшельские Острова,Сейшельские Острова
176,SLE,,,Sierra Leone,Sierra Leone,,Sierra Leone,Sierra Leone,,Sierra Leona,Sierra Leona,,Сьерра-Леоне,Сьерра-Леоне
177,SGP,,,Singapore,Singapore,,Singapour,Singapour,,Singapur,Singapur,,Сингапур,Сингапур
178,SVK,,,Slovakia,Slovakia,,Slovaquie,Slovaquie,,Eslovaquia,Eslovaquia,,Словакия,Словакия
179,SVN,,,Slovenia,Slovenia,,Slovénie,Slovénie,,Eslovenia,Eslovenia,,Словения,Словения
180,SLB,,,Solomon Islands,Solomon Islands,,Îles Salomon,Îles Salomon,,Islas Salomón,Islas Salomón,,Соломоновы Острова,Соломоновы Острова
181,SOM,,,Somalia,Somalia,,Somalie,Somalie,,Somalia,Somalia,,Сомали,Сомали
182,ZAF,,,South Africa,South Africa,,Afrique du Sud,Afrique du Sud,,Sudáfrica,Sudáfrica,,Южная Африка,Южная Африка
183,SGS,,,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,,Géorgie du Sud et îles Sandwich du Sud,Géorgie du Sud et îles Sandwich du Sud,,Islas Georgias del Sur y Sandwich del Sur,Islas Georgias del Sur y Sandwich del Sur,,Южная Георгия и Южные Сандвичевы острова,Южная Георгия и Южные Сандвичевы острова
184,SSD,,,South Sudan,South Sudan,,Soudan du Sud,Soudan du Sud,,Sudán del Sur,Sudán del Sur,,Южный Судан,Южный Судан
185,ESP,,,Spain,Spain,,Espagne,Espagne,,España,España,,Испания,Испания
186,LKA,,,Sri Lanka,Sri Lanka,,Sri Lanka,Sri Lanka,,Sri Lanka,Sri Lanka,,Шри-Ланка,Шри-Ланка
187,SDN,,,Sudan,Sudan,,Soudan,Soudan,,Sudán,Sudán,,Судан,Судан
188,SUR,,,Suriname,Suriname,,Suriname,Suriname,,Suriname,Suriname,,Суринам,Суринам
189,SWZ,,,Swaziland,Swaziland,,Swaziland,Swaziland,,Swazilandia,Swazilandia,,Свазиленд,Свазиленд
190,SWE,,,Sweden,Sweden,,Suède,Suède,,Suecia,Suecia,,Швеция,Швеция
191,CHE,,,Switzerland,Switzerland,,Suisse,Suisse,,Suiza,Suiza,,Швейцария,Швейцария
192,SYR,,,Syrian Arab Republic,Syrian Arab Republic,,République arabe syrienne,République arabe syrienne,,República Árabe Siria,República Árabe Siria,,Сирийская Арабская Республика,Сирийская Арабская Республика
194,TWN,,,"Taiwan, Province of China","Taiwan, Province of China",,Province chinoise de Taiwan,Province chinoise de Taiwan,,"Taiwán, Provincia China de","Taiwán, Provincia China de",,"Тайвань, провинция Китая","Тайвань, провинция Китая"
195,TJK,,,Tajikistan,Tajikistan,,Tadjikistan,Tadjikistan,,Tayikistán,Tayikistán,,Таджикистан,Таджикистан
196,TZA,,,"Tanzania, United Republic of","Tanzania, United Republic of",,"Tanzanie, République-Unie de","Tanzanie, République-Unie de",,"Tanzania, República Unida de","Tanzania, República Unida de",,Объединенная Республика Танзания,Объединенная Республика Танзания
197,THA,,,Thailand,Thailand,,Thaïlande,Thaïlande,,Tailandia,Tailandia,,Таиланд,Таиланд
198,TLS,,,Timor-Leste,Timor-Leste,,Timor-Leste,Timor-Leste,,Timor-Leste,Timor-Leste,,Тимор-Лешти,Тимор-Лешти
199,TGO,,,Togo,Togo,,Togo,Togo,,Togo,Togo,,Того,Того
200,TKL,,,Tokelau,Tokelau,,Tokélau,Tokélau,,Tokelau,Tokelau,,Токелау,Токелау
201,TON,,,Tonga,Tonga,,Tonga,Tonga,,Tonga,Tonga,,Тонга,Тонга
202,TTO,,,Trinidad and Tobago,Trinidad and Tobago,,Trinité-et-Tobago,Trinité-et-Tobago,,Trinidad y Tabago,Trinidad y Tabago,,Тринидад и Тобаго,Тринидад и Тобаго
203,TUN,,,Tunisia,Tunisia,,Tunisie,Tunisie,,Túnez,Túnez,,Тунис,Тунис
204,TUR,,,Turkey,Turkey,,Turquie,Turquie,,Turquía,Turquía,,Турция,Турция
205,TKM,,,Turkmenistan,Turkmenistan,,Turkménistan,Turkménistan,,Turkmenistán,Turkmenistán,,Туркменистан,Туркменистан
206,TCA,,,Turks and Caicos Islands,Turks and Caicos Islands,,Îles Turques et Caïques,Îles Turques et Caïques,,Islas Turcas y Caicos,Islas Turcas y Caicos,,Острова Теркс и Кайкос,Острова Теркс и Кайкос 
207,TUV,,,Tuvalu,Tuvalu,,Tuvalu,Tuvalu,,Tuvalu,Tuvalu,,Тувалу,Тувалу
208,UGA,,,Uganda,Uganda,,Ouganda,Ouganda,,Uganda,Uganda,,Уганда,Уганда
209,UKR,,,Ukraine,Ukraine,,Ukraine,Ukraine,,Ucrania,Ucrania,,Украина,Украина
