#,WMO306CD_efrs,QualityFlagSysURL_efrs,Path_e,Name_e,Definition_e,Path_f,Name_f,Definition_f,Path_s,Name_s,Definition_s,Path_r,Name_r,Definition_r
31,extremeHeat,,>Incident>Environmental>Extreme heat,Extreme heat,NA,>Incident>Environnemental>Canicule,Canicule,s.o.,>Incidente>Ambiental>Calor extremo,Calor extremo,NA,>Инцидент>Экологический> Экстремальная жара,Экстремальная жара,NA
32,hail,,>Incident>Environmental>Hail,Hail,NA,>Incident>Environnemental>Grêle,Grêle,s.o.,>Incidente>Ambiental>Granizo,Granizo,NA,>Инцидент>Экологический>Град,Град,NA
33,flooding,,>Incident>Environmental>Heavy precipitation/flooding,Heavy precipitation/flooding,NA,>Incident>Environnemental>Fortes précipitations/inondation,Fortes précipitations/inondation,s.o.,>Incidente>Ambiental>Precipitaciones fuertes/inundaciones,Precipitaciones fuertes/inundaciones,NA,>Инцидент>Экологический> Сильные осадки/наводнение,Сильные осадки/наводнение,NA
34,windDebris,,>Incident>Environmental>High wind/ blowing debris,High wind/ blowing debris,NA,>Incident>Environnemental>Grand vent/débris soufflés,Grand vent/débris soufflés,s.o.,>Incidente>Ambiental>Viento fuerte / objetos volando,Viento fuerte / objetos volando,NA,>Инцидент>Экологический> Высокая скорость ветра/падающие обломки,Высокая скорость ветра/падающие обломки,NA
35,snowBlizzardIcing,,>Incident>Environmental>Snow/blizzard/icing,Snow/blizzard/icing,NA,>Incident>Environnemental>Neige/blizzard/givrage,Neige/blizzard/givrage,s.o.,>Incidente>Ambiental>Nevadas/venticas/engelamiento,Nevadas/venticas/engelamiento,NA,>Инцидент>Экологический> Снег/Близзард/Обледенение,Снег/Близзард/ Обледенение,NA
36,thunderstormLightning,,>Incident>Environmental>Thunderstorm/ lightning strike,Thunderstorm/ lightning strike,NA,>Incident>Environnemental>Orage/foudre,Orage/foudre,s.o.,>Incidente>Ambiental>Tormenta / descarga eléctrica,Tormenta / descarga eléctrica,NA,>Инцидент>Экологический> Гроза/удар молнии,Гроза/удар молнии,NA
37,magneticStorm,,>Incident>Fire>Magnetic storm,Magnetic storm,NA,>Incident>Incendie>Tempête magnétique,Tempête magnétique,s.o.,>Incidente>Fuego>Tormenta magnética,Tormenta magnética,NA,>Инцидент>Пожар>Магнитная буря,Магнитная буря,NA
38,solarFlares,,>Incident>Fire>Solar flares,Solar flares,NA,>Incident>Incendie>Éruption solaire,Éruption solaire,s.o.,>Incidente>Fuego>Erupciones solares,Erupciones solares,NA,>Инцидент>Пожар> Вспышки на солнце,Вспышки на солнце,NA
39,avalanche,,>Incident>Severe weather>Avalanche,Avalanche,NA,>Incident>Phénomène météorologique violent>Avalanche,Avalanche,s.o.,>Incidente>Fenómenos meteorológicos extremos>Avalancha,Avalancha,NA,>Инцидент>Суровая погода> Снежная лавина,Снежная лавина,NA
40,biologicalFouling,,>Incident>Severe weather>Biological fouling,Biological fouling,NA,>Incident>Phénomène météorologique violent>Encrassement biologique,Encrassement biologique,s.o.,>Incidente>Fenómenos meteorológicos extremos>Obstrucción biológica,Obstrucción biológica,NA,>Инцидент>Суровая погода> Биологическое загрязнение,Биологическое загрязнение,NA
41,biomassBurningUnplanned,,>Incident>Severe weather>Biomass burning (unplanned),Biomass burning (unplanned),NA,>Incident>Phénomène météorologique violent>Combustion de la biomasse (imprévue),Combustion de la biomasse (imprévue),s.o.,>Incidente>Fenómenos meteorológicos extremos>Quema de biomasa (fortuita),Quema de biomasa (fortuita),NA,>Инцидент>Суровая погода> Сжигание биомассы (незапланированное),Сжигание биомассы (незапланированное),NA
42,corrosion,,>Incident>Severe weather>Corrosion,Corrosion,NA,>Incident>Phénomène météorologique violent>Corrosion,Corrosion,s.o.,>Incidente>Fenómenos meteorológicos extremos>Corrosión,Corrosión,NA,>Инцидент>Суровая погода> Коррозия,Коррозия,NA
43,earthQuake,,>Incident>Severe weather>Earthquake,Earthquake,NA,>Incident>Phénomène météorologique violent>Séisme,Séisme,s.o.,>Incidente>Fenómenos meteorológicos extremos>Terremoto,Terremoto,NA,>Инцидент>Суровая погода> Землетрясение,Землетрясение,NA
44,erosion,,>Incident>Severe weather>Erosion,Erosion,NA,>Incident>Phénomène météorologique violent>Érosion,Érosion,s.o.,>Incidente>Fenómenos meteorológicos extremos>Erosión,Erosión,NA,>Инцидент>Суровая погода> Эрозия,Эрозия,NA
45,guanoFouling,,>Incident>Severe weather>Guano fouling,Guano fouling,NA,>Incident>Phénomène météorologique violent>Encrassement par guano ,Encrassement par guano ,s.o.,>Incidente>Fenómenos meteorológicos extremos>Obstrucción por guano,Obstrucción por guano,NA,>Инцидент>Суровая погода> Загрязнение гуано,Загрязнение гуано,NA
46,infestation,,>Incident>Severe weather>Insect/animal infestation,Insect/animal infestation,NA,>Incident>Phénomène météorologique violent>Infestation d’insectes/d’animaux,Infestation d’insectes/d’animaux,s.o.,>Incidente>Fenómenos meteorológicos extremos>Infestación por insectos/animales,Infestación por insectos/animales,NA,>Инцидент>Суровая погода> Заражение насекомыми/животными,Заражение насекомыми/животными,NA
47,landslide,,>Incident>Severe weather>Land slide/mudslide,Land slide/mudslide,Hazard event,>Incident>Phénomène météorologique violent>Glissement de terrain/coulée de boue,Glissement de terrain/coulée de boue,Phénomène dangereux,>Incidente>Fenómenos meteorológicos extremos>Deslizamiento de tierras / deslizamiento de lodos,Deslizamiento de tierras / deslizamiento de lodos,Fenómeno peligroso,>Инцидент>Суровая погода> Оползень/грязевой оползень,Оползень/грязевой оползень,Опасное явление
48,pollution,,>Incident>Severe weather>Pollution,Pollution,NA,>Incident>Phénomène météorologique violent>Pollution,Pollution,s.o.,>Incidente>Fenómenos meteorológicos extremos>Contaminación,Contaminación,NA,>Инцидент>Суровая погода> Загрязнение,Загрязнение,NA
49,stormSurge,,>Incident>Severe weather>Storm surge,Storm surge,NA,>Incident>Phénomène météorologique violent>Onde de tempête ,Onde de tempête,s.o.,>Incidente>Fenómenos meteorológicos extremos>Marea meteorológica,Marea meteorológica,NA,>Инцидент>Суровая погода> Штормовой нагон,Штормовой нагон,NA
50,tsunami,,>Incident>Severe weather>Tsunami,Tsunami,NA,>Incident>Phénomène météorologique violent>Tsunami,Tsunami,s.o.,>Incidente>Fenómenos meteorológicos extremos>Tsunami,Tsunami,NA,>Инцидент>Суровая погода> Цунами,Цунами,NA
51,volcanicEruption,,>Incident>Severe weather>Volcanic eruption/ Ash,Volcanic eruption/ Ash,NA,>Incident>Phénomène météorologique violent>Éruption volcanique/cendres,Éruption volcanique/cendres,s.o.,>Incidente>Fenómenos meteorológicos extremos>Erupción/ceniza volcánica,Erupción/ceniza volcánica,NA,>Инцидент>Суровая погода> Вулканическое извержение/ пепел,Вулканическое извержение/пепел,NA
52,cyberAttack,,>Incident>Space weather>Cyber security penetration/ virus/ worm,Cyber security penetration/ virus/ worm,NA,>Incident>Phénomène météorologique spatial>Faille de sécurité informatique/virus/ver,Faille de sécurité informatique/virus/ver,s.o.,>Incidente>Meteorología espacial>Penetración/virus/gusanos en la seguridad cibernética,Penetración/virus/gusanos en la seguridad cibernética,NA,>Инцидент>Космическая погода>Нарушение киберзащиты/вирус/червь,Нарушение киберзащиты/вирус/ червь,NA
53,dataCommOutage,,>Incident>Space weather>Data communications outage,Data communications outage,NA,>Incident>Phénomène météorologique spatial>Interruption de la transmission des données,Interruption de la transmission des données,s.o.,>Incidente>Meteorología espacial>Corte en las comunicaciones por datos,Corte en las comunicaciones por datos,NA,>Инцидент>Космическая погода> Остановка передачи данных,Остановка передачи данных,NA
54,malfunction,,>Incident>Space weather>Equipment malfunction,Equipment malfunction,NA,>Incident>Phénomène météorologique spatial>Dysfonctionnement de l’équipection,Dysfonctionnement de l’équipe,s.o.,>Incidente>Meteorología espacial>Fallo del equipo,Fallo del equipo,NA,>Инцидент>Космическая погода> Неисправность оборудования,Неисправность оборудования,NA
55,groundClutter,,>Incident>Space weather>Ground clutter/ signal blockage/ degradation,Ground clutter/ signal blockage/ degradation,NA,>Incident>Phénomène météorologique spatial>Écho du terrain/blocage du signal/dégradation,Écho du terrain/blocage du signal/dégradation,s.o.,>Incidente>Meteorología espacial>Ecos en el suelo / bloqueo de la señal / degradación,Ecos en el suelo / bloqueo de la señal / degradación,NA,>Инцидент>Космическая погода> Отражение от земли/блокировка/ ухудшение сигнала,Отражение от земли/блокировка/ ухудшение сигнала,NA
56,hardwareFailure,,>Incident>Space weather>Hardware failure,Hardware failure,NA,>Incident>Phénomène météorologique spatial>Panne de matériel,Panne de matériel,s.o.,>Incidente>Meteorología espacial>Fallo del equipo informático,Fallo del equipo informático,NA,>Инцидент>Космическая погода> Поломка аппаратного оборудования,Поломка аппаратного оборудования,NA
57,powerOutage,,>Incident>Space weather>Power outage,Power outage,NA,>Incident>Phénomène météorologique spatial>Coupure de courant,Coupure de courant,s.o.,>Incidente>Meteorología espacial>Corte de energía,Corte de energía,NA,>Инцидент>Космическая погода> Остановка энергоснабжения,Остановка энергоснабжения,NA
58,radioFrequencyInterference,,>Incident>Space weather>Radio frequency interference,Radio frequency interference,NA,>Incident>Phénomène météorologique spatial>Interférence des radiofréquences,Interférence des radiofréquences,s.o.,>Incidente>Meteorología espacial>Interferencias en las radiofrecuencias,Interferencias en las radiofrecuencias,NA,>Инцидент>Космическая погода> Радиочастотные помехи,Радиочастотные помехи,NA
59,softwareFailure,,>Incident>Space weather>Software failure,Software failure,NA,>Incident>Phénomène météorologique spatial>Panne de logiciel,Panne de logiciel,s.o.,>Incidente>Meteorología espacial>Fallo del programa informático,Fallo del programa informático,NA,>Инцидент>Космическая погода> Сбой программного обеспечения,Сбой программного обеспечения,NA
