@id,dct:description,rdf:type,rdfs:label,skos:notation
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/289>,"'IUPAC: fluorane, PubChem CID: 14917, CAS Number: 7664-39-3, in gas phase'@en",skos:Concept,HF (hydrofluoric acid),'289'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/291>,''@en,skos:Concept,ROOH,'291'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/294>,''@en,skos:Concept,Acidity-Alkalinity,'294'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/295>,''@en,skos:Concept,Electric conductivity,'295'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/296>,''@en,skos:Concept,Hydrogen ion (H+) or pH,'296'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/302>,"'IUPAC: sulfur, PubChem CID: n/a, CAS Number: 7704-34-9, in total deposition'@en",skos:Concept,S (sulfur),'302'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/304>,''@en,skos:Concept,Direction of cloud movement,'304'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/305>,''@en,skos:Concept,Gust Speed,'305'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/307>,'Vertical component of the 3-D wind vector. positive value for upward wind. This scalar quantity can be used to represent a value at given location and an instantaneous time or average over spatio-temporal extent or values as a function of spatio-temporal coordinates.'@en,skos:Concept,w (vertical component of wind vector),'307'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/310>,'Horizontal component of wind as a vector in an orthogonal coordinate system.'@en,skos:Concept,"Upper wind (X, Y components, horizontal)",'310'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/314>,'Vertical column integral of spectral aerosol absorption coefficient: AAOD = exp(-K.Îz) where K is the absorption coefficient [km-1] and Îz the vertical path [km]'@en,skos:Concept,Aerosol Absorption Optical Depth,'314'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/315>,'Spectral volumetric extinction cross-section of aerosol particles.'@en,skos:Concept,Aerosol Extinction Coefficient,'315'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/316>,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM1'@en,skos:Concept,"Particle light absorption coefficient, PM1",'316'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/317>,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM10'@en,skos:Concept,"Particle light absorption coefficient, PM10",'317'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/318>,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: TSP'@en,skos:Concept,"Particle light absorption coefficient, TSP",'318'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/322>,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM1'@en,skos:Concept,"Particle light scattering coefficient, PM1",'322'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/323>,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: PM10'@en,skos:Concept,"Particle light scattering coefficient, PM10",'323'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/324>,'A measure of light attenuation due to absorption by aerosol particles expressed as the Beer-Lambert Law exponent at unit path distance. Size range: TSP'@en,skos:Concept,"Particle light scattering coefficient, TSP",'324'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/325>,"'The AOD is the effective depth of the aerosol over a specified distance, from the viewpoint of radiation propagation: Vertical integral of spectral aerosol extinction coefficient AOD = exp(-K. Îz) where K is the extinction coefficient [km-1 ] and Îz the vertical path [km].'@en",skos:Concept,"Aerosol optical depth, TSP",'325'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/327>,'Atmospheric water in the solid phase (precipitating or not).'@en,skos:Concept,Cloud ice,'327'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/329>,"'The area weighted mean radius of ice particles, assimilated to spheres of the same volume.'@en",skos:Concept,Cloud ice effective radius,'329'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/330>,'Height of the atmospheric layer in cloud where liquid-solid states transform into each other'@en,skos:Concept,Freezing level height in clouds,'330'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/331>,"'3D field of super-cooled liquid water, enabling the formation of ice coating on an object.'@en",skos:Concept,Icing potential,'331'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/332>,"'IUPAC: bromo-chloro-difluoromethane, PubChem CID: 9625, CAS Number: 353-59-3, in gas phase'@en",skos:Concept,CBrClF2 (Halon 1211),'332'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/333>,"'IUPAC: bromo(trifluoro)methane, PubChem CID: 6384, CAS Number: 75-63-8, in gas phase'@en",skos:Concept,"CBrF3 (bromotrifluoromethane, Halon 1301)",'333'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/334>,"'IUPAC: 9H-fluorene, PubChem CID: 6853, CAS Number: 86-73-7, in gas phase'@en",skos:Concept,"C13H10 (9H-fluorene, fluorene), in air",'334'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/335>,"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase, PM10'@en",skos:Concept,"C14H10 (anthracene), PM10",'335'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/336>,"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in particle phase'@en",skos:Concept,"C14H10 (anthracene), in aerosol",'336'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/337>,"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in aerosol'@en",skos:Concept,"C14H10 (anthracene), in air and aerosol",'337'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/338>,"'IUPAC: anthracene, PubChem CID: 8418, CAS Number: 120-12-7, in gas phase'@en",skos:Concept,"C14H10 (anthracene), in air",'338'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/339>,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in particle phase, PM10'@en",skos:Concept,"C14H10 (phenanthrene), PM10",'339'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/340>,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in particle phase'@en",skos:Concept,"C14H10 (phenanthrene), in aerosol",'340'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/341>,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in gas phase'@en",skos:Concept,"C14H10 (phenanthrene), in air",'341'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/342>,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in aerosol'@en",skos:Concept,"C14H10 (phenanthrene), in air and aerosol",'342'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/343>,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in wet deposition'@en",skos:Concept,"C14H10 (phenanthrene), in wet deposition",'343'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/344>,"'IUPAC: phenanthrene, PubChem CID: 995, CAS Number: 85-01-8, in total precipitation'@en",skos:Concept,"C14H10 (phenanthrene), in total precipitation",'344'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/345>,"'IUPAC: pyrene, PubChem CID: 31423, CAS Number: 129-00-0, in aerosol'@en",skos:Concept,"C16H10 (pyrene), in air and aerosol",'345'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/346>,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase, PM10'@en",skos:Concept,"C18H12 (benz(a)anthracene), PM10",'346'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/347>,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in particle phase'@en",skos:Concept,"C18H12 (benz(a)anthracene), in aerosol",'347'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/348>,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in gas phase'@en",skos:Concept,"C18H12 (benz(a)anthracene), in air",'348'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/349>,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in aerosol'@en",skos:Concept,"C18H12 (benz(a)anthracene), in air and aerosol",'349'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/350>,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in precipitation'@en",skos:Concept,"C18H12 (benz(a)anthracene), in precipitation",'350'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/351>,"'IUPAC: benzo[a]anthracene, PubChem CID: 5954, CAS Number: 56-55-3, in total precipitation'@en",skos:Concept,"C18H12 (benz(a)anthracene), in total precipitation",'351'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/356>,'Spectrally integrated UV radiation'@en,skos:Concept,UV Broadband radiation,'356'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/357>,'Radiation effective in causing actinic erythema'@en,skos:Concept,UV Erythemal radiation,'357'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/358>,"'UV radiation measured across several discrete, narrow wavebands (e.g. 10 nm) within the UV range, providing coarse spectral information'@en",skos:Concept,UV Multiband radiation,'358'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/359>,'UV radiation measured at a higher spectral resolution (e.g. 1 nm) than multiband UV radiation'@en,skos:Concept,UV Spectral radiation,'359'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/361>,'2D field of the column burden of condensed particles in the atmosphere'@en,skos:Concept,Aerosol column burden (mass density),'361'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/362>,'The area weighted mean radius of the aerosol particles.'@en,skos:Concept,Particle effective radius,'362'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/364>,"'Mass of particles per unit volume of air, size range: PM10'@en",skos:Concept,"Particle mass concentration, PM10",'364'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/365>,"'Mass of particles per unit volume of air, size range: PM1'@en",skos:Concept,"Particle mass concentration, PM1",'365'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/366>,"'Mass of particles per unit volume of air, size range: PM2.5'@en",skos:Concept,"Particle mass concentration, PM2.5",'366'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/367>,"'Mass of particles per unit volume of air, size fractionated'@en",skos:Concept,Particle mass concentration (size fractionated),'367'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/368>,"'Mass of particles per unit volume of air, size range: TSP'@en",skos:Concept,"Particle mass concentration, TSP",'368'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/369>,'Amount of particles per unit volume of air'@en,skos:Concept,Particle number concentration,'369'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/370>,"'Particle number concentration as a function of size, typically equivalent spherical radius or diameter. Size range: TSP'@en",skos:Concept,"Particle number size distribution, PM10",'370'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/371>,"'Particle number concentration as a function of size, typically equivalent spherical radius or diameter. Size range: PM10'@en",skos:Concept,"Particle number size distribution, TSP",'371'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/373>,'Atmospheric water in the liquid phase (precipitating or not).'@en,skos:Concept,Cloud liquid water (CLW),'373'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/375>,"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in particle phase'@en",skos:Concept,"C12H8Cl6 (aldrin), in aerosol",'375'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/376>,"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in gas phase'@en",skos:Concept,"C12H8Cl6 (aldrin), in air",'376'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/377>,"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in aerosol'@en",skos:Concept,"C12H8Cl6 (aldrin), in air and aerosol",'377'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/378>,"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in total precipitation'@en",skos:Concept,"C12H8Cl6 (aldrin), in total precipitation",'378'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/379>,"'IUPAC: (1R,4S,4aS,5S,8R,8aR)-1,2,3,4,10,10-Hexachloro-1,4,4a,5,8,8a-hexahydro-1,4:5,8-dimethanonaphthalene, PubChem CID: 2087, CAS Number: 309-00-2, in wet precipitation'@en",skos:Concept,"C12H8Cl6 (aldrin), in wet precipitation",'379'
<http://codes.wmo.int/wmdr/ObservedVariableAtmosphere/380>,"'IUPAC: 1,2,3,4,5,6-hexachlorobenzene, PubChem CID: 8370, CAS Number: 118-74-1, in gas phase'@en",skos:Concept,"C6Cl6 (hexachlorobenzene, HCB), in air",'380'
